Topic,Toxicity Score,Total Number of Comments,Total Number of UpVotes
Bitcoin,0.20393524,1037,3254
CoinBase,0.47014344,265,805
CryptoCurrency,0.20442799,1582,1655
SHIBArmy,0.11926844,225,732
binance,0.09880993,2728,367
ethereum,0.26272064,365,320
