Entity,source,event,sport_category,count
Brenton Doyle,['Purple Row'],['MLB '],Baseball,1
Davey Martinez,['Sportskeeda'],['MLB '],Baseball,1
Michael Conforto,['MLB.com'],['MLB '],Baseball,1
Outfield Upgrades,['MLB Trade Rumors'],['MLB '],Baseball,1
Kike Hernandez,['ClutchPoints'],['MLB '],Baseball,1
David ...,['Rising Apple'],['MLB '],Baseball,1
Joey Krehbiel Elects Free Agency,['MLB Trade Rumors'],['MLB '],Baseball,1
Sean Sullivan Fastball Moves In Mysterious,['Baseball America'],['MLB '],Baseball,1
Spencer Strider,['Sports Illustrated'],['MLB '],Baseball,1
Chris,['livenationentertainment.com'],['MLB '],Baseball,1
Brian Knight,['406mtsports.com'],['MLB '],Baseball,1
Fantasy Football,['CBS Boston'],['NFL '],American Football,1
Connor Hughes,['sny.tv'],['NFL '],American Football,1
Phillips,['English Premier League Index - Opta Stats'],['EPL '],Soccer (Football),1
Deebo,['NBC Sports Bay Area'],['NFL '],American Football,1
Defeat Dolphins,['The Best Mix 105.5'],['NFL '],American Football,1
Summon Teenage,['Outlook India'],['FIFA '],Soccer (Football),1
Draft,['Yahoo Sports'],['NFL '],American Football,1
Comeback Win Over Falcons,['Vikings.com'],['NFL '],American Football,1
Aikman Showed,['Sports Illustrated'],['NFL '],American Football,1
ESPN Face MNF,['Front Office Sports'],['NFL '],American Football,1
Rookie QB,['ESPN'],['NFL '],American Football,1
Young,['ESPN'],['NFL '],American Football,1
Midseason All-Pro Team,['Pro Football Focus'],['NFL '],American Football,1
Levis,['The Guardian'],['NFL '],American Football,1
Magic Johnson,['Billboard'],['NFL '],American Football,1
Travis Kelce’s,['Billboard'],['NFL '],American Football,1
Pick,['Stadium Astro'],['NFL '],American Football,1
Antonio Pierce,['Sports Illustrated'],['NFL '],American Football,1
Jalen Hurts,['Eagles Wire'],['NFL '],American Football,1
Nick Wright,['Chiefs Wire'],['NFL '],American Football,1
Sam Howell,['CBS Sports'],['NFL '],American Football,1
Bears,['CBS Sports'],['NFL '],American Football,1
Tom Grossi,['WBAY'],['NFL '],American Football,1
Tolbert Scores,['Sun Belt Conference'],['NFL '],American Football,1
Draft Order,['Marca'],['NFL '],American Football,1
Bucs,['Marca'],['NFL '],American Football,1
A.J. Brown,['CBS Sports'],['NFL '],American Football,1
Justin Jefferson,['CBS Sports'],['NFL '],American Football,1
Blake Martinez,['The Athletic'],['NFL '],American Football,1
Mark Canha,['MLB.com'],['MLB '],Baseball,1
David Stearns,['CBS Sports'],['MLB '],Baseball,1
Borussia Dortmund,['Yahoo Sports'],['Davis Cup '],Tennis,1
Yoshinobu Yamamoto,['Yardbarker'],['MLB '],Baseball,1
Will Erik Karlsson,['WSAZ'],['NHL '],Ice Hockey,1
Will Filip,['WYMT'],['NHL '],Ice Hockey,1
Minnesota Wild,['NHL.com'],['NHL '],Ice Hockey,1
Auston Matthews Surges,['FanDuel Research'],['NHL '],Ice Hockey,1
England Tom Curry,['Express'],['Davis Cup '],Tennis,1
Will Luke Glendening,['WWSB'],['NHL '],Ice Hockey,1
Will Nikita Kucherov Score,['WWSB'],['NHL '],Ice Hockey,1
Evan NHL,['Colorado Hockey Now'],['NHL '],Ice Hockey,1
Tufte Attends Johnson,['Colorado Hockey Now'],['NHL '],Ice Hockey,1
Janis Moser Score,"[""Arizona's Family""]",['NHL '],Ice Hockey,1
Spencer Carbery,['Russian Machine Never Breaks'],['NHL '],Ice Hockey,1
Rasmus Sandin,['Russian Machine Never Breaks'],['NHL '],Ice Hockey,1
Will Ryan Johansen,['KWCH'],['NHL '],Ice Hockey,1
Tottenham 1-4 Chelsea - Craziest EPL Game Ever,['Stadium Astro'],['EPL '],Soccer (Football),1
Tottenham Versus,['Sports Brief'],['EPL '],Soccer (Football),1
Francia ...,['Olympics'],['Davis Cup '],Tennis,1
Heun,['Daily Mail'],['EPL '],Soccer (Football),1
Luton 1-1 Liverpool,['BBC'],['EPL '],Soccer (Football),1
Opta Top Five,['The Analyst'],['EPL '],Soccer (Football),1
Richarlison,['Sportstar'],['EPL '],Soccer (Football),1
Luton 1-1,['Daily Mail'],['EPL '],Soccer (Football),1
Andy Jones,['Brentford FC'],['EPL '],Soccer (Football),1
Rotherham,['SuperSport'],['EPL '],Soccer (Football),1
Nicolas,['Sports Brief'],['EPL '],Soccer (Football),1
Gerard Piqué Net Worth,['KahawaTungu'],['Davis Cup '],Tennis,1
Berkly Catton,['Daily Faceoff'],['NHL '],Ice Hockey,1
Alex Galchenyuk,['FOX 29 Philadelphia'],['NHL '],Ice Hockey,1
Avalanche Pregame,['Colorado Hockey Now'],['NHL '],Ice Hockey,1
Baton Rouge,['WAFB'],['NHL '],Ice Hockey,1
Bob Melvin,['NBC Sports Bay Area'],['MLB '],Baseball,1
John Lynch,['NBC Sports Bay Area'],['MLB '],Baseball,1
Spencer Torkelson,['MLB.com'],['MLB '],Baseball,1
Bruce Bochy Confirms Status,['Sports Illustrated'],['MLB '],Baseball,1
Melvin,['NBC Sports Bay Area'],['MLB '],Baseball,1
Teoscar Hernandez,['RotoBaller'],['MLB '],Baseball,1
Sonny Gray - MLB News,['RotoBaller'],['MLB '],Baseball,1
Tom Hamilton,['Akron Beacon Journal'],['MLB '],Baseball,1
Terry Francona,['Akron Beacon Journal'],['MLB '],Baseball,1
Matt Chapman,['RotoBaller'],['MLB '],Baseball,1
G Campbell,['TSN'],['NHL '],Ice Hockey,1
Canadiens Fetch NHL-Record,['Yahoo Sports'],['NHL '],Ice Hockey,1
Cons,['FloHockey'],['NHL '],Ice Hockey,1
Watch Sabres,['Sports Illustrated'],['NHL '],Ice Hockey,1
Beecher,['CBS News'],['NHL '],Ice Hockey,1
Montreal Canadiens,['Last Word On Sports'],['NHL '],Ice Hockey,1
Martin Pospisil,['Calgary Sun'],['NHL '],Ice Hockey,1
Dustin Wolf,['MyNHLTradeRumors.com'],['NHL '],Ice Hockey,1
Jonathan Huberdeau,['MyNHLTradeRumors.com'],['NHL '],Ice Hockey,1
Adam Johnson,['Marca'],['NHL '],Ice Hockey,1
Matt Savoie,['The Athletic'],['NHL '],Ice Hockey,1
Jiri Kulich,['The Athletic'],['NHL '],Ice Hockey,1
Pelham,['WIAT - CBS42.com'],['NHL '],Ice Hockey,1
Pros,['FloHockey'],['NHL '],Ice Hockey,1
Sensation Endrick Felipe,['Outlook India'],['FIFA '],Soccer (Football),1
Miami Marlins,['Just Baseball'],['WRC '],Motorsports,1
Andrés Cubas,['Vancouver Whitecaps FC'],['FIFA '],Soccer (Football),1
Chris Eubanks,['ESPN'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Chet Holmgren,['Sports Illustrated'],['NBA '],Basketball,1
Parks,['WTA Tennis'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Dusan Lajovic Beats Jannik Sinner,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Taylor Fritz Wins,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Alexander Zverev Earns,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Daniil Medvedev,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Bill Self,['Kansas Jayhawks'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Jamie Murray &,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Michael Venus Reach,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Bruce Brown NBA Preview,['WYMT'],['NBA '],Basketball,1
Murray Mailbag,['Nevada Sports Net'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
J.J. Wolf Journey,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Holger Rune Explains,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Caroline Wozniacki ,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Frazier,['Parkersburg News'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Dan Evans,['The Independent'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Terry Rozier,['NBA.com'],['NBA '],Basketball,1
Charlie,['Geo News'],['The Masters '],Golf,1
Awang Tengah,['Malay Mail'],['The Masters '],Golf,1
Kuching Smart City,['Malay Mail'],['The Masters '],Golf,1
Wayne State,['Wayne State University'],['The Masters '],Golf,1
Jun Hao,['New Straits Times'],['The Masters '],Golf,1
Tom Haberstroh,['Yahoo Sports'],['NBA '],Basketball,1
a Reflecting Mirror,['Morocco World News'],['The Masters '],Golf,1
Pauline Fisher,['Lawn Tennis Association'],['The Masters '],Golf,1
Swiatek,['Hindustan Times'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Nate Mahon,['The Cincinnati Enquirer'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Farooq Hassan Sheikh,['CBC.ca'],['The Masters '],Golf,1
Felix Auger-Aliassime,['ATP Tour'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Kyle Kuzma,['NBC 29'],['NBA '],Basketball,1
RB Keaton,['The Killeen Daily Herald'],['Super Bowl '],American Football,1
John Harbaugh,['CBS Sports'],['Super Bowl '],American Football,1
Walker Kessler,['Deseret News'],['NBA '],Basketball,1
Cam Newton,['The Mirror'],['Super Bowl '],American Football,1
Karl-Anthony Towns,['Star Tribune'],['NBA '],Basketball,1
Midseason MVP,['BaltimoreRavens.com'],['Super Bowl '],American Football,1
Rob Vanstone,['riderville.com'],['Super Bowl '],American Football,1
Sam Ball,['14 News WFIE Evansville'],['Super Bowl '],American Football,1
Tom Brady,['Newsweek'],['Super Bowl '],American Football,1
Stephen Curry NBA Preview,['KCRG'],['NBA '],Basketball,1
Cowboys Replaced,['Sports Illustrated'],['Super Bowl '],American Football,1
Giannis Antetokounmpo,['WLUC'],['NBA '],Basketball,1
Von Miller,['The Denver Post'],['Super Bowl '],American Football,1
Colin Cowherd,['gulflive.com'],['Super Bowl '],American Football,1
Utah Jazz,['Xinhua'],['NBA '],Basketball,1
Daniel Jones,['CBS Sports'],['Super Bowl '],American Football,1
Travis Kelce,['Marca English'],['Super Bowl '],American Football,1
Jason,['Marca English'],['Super Bowl '],American Football,1
Aeneas Williams,['Alabama A&M Athletics'],['Super Bowl '],American Football,1
Devin McCourty,['GBH News'],['Super Bowl '],American Football,1
Landing Spots,['Bleacher Report'],['NBA '],Basketball,1
Davante Adams,['Yahoo Sports'],['Super Bowl '],American Football,1
Boy Killed,['PEOPLE'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Boris Becker,['Sportskeeda'],['Cincinnati Masters (Western & Southern Open) '],Tennis,1
Taylor Swift Played Her Cards,['The Ringer'],['The Masters '],Golf,1
Shows Its Sleeker,['CarScoops'],['The Masters '],Golf,1
Mitch Docker,['Global Cycling Network'],['Tour de France '],Cycling,1
James Anderson,['ANI News'],['The Ashes '],Cricket,1
Zenith Watches Supports Women,['Worth'],['The Ashes '],Cricket,1
Walter’s Restaurant,['Claremont Courier'],['The Ashes '],Cricket,1
Mason Plumlee,['ESPN'],['NBA '],Basketball,1
Silent Spring,['Ocula Magazine'],['The Ashes '],Cricket,1
Sacked Over,['Advocate.com'],['The Ashes '],Cricket,1
Jos Buttler,['Sky Sports'],['The Ashes '],Cricket,1
Patisserie Valerie,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Zandon,['Horse Racing Nation'],['Kentucky Derby '],Horse Racing,1
Dalika,['Daily Racing Form'],['Kentucky Derby '],Horse Racing,1
Randy Moss,['Paulick Report'],['Kentucky Derby '],Horse Racing,1
Beshear,['The Derby Informer'],['Kentucky Derby '],Horse Racing,1
Dan Liebman,['The Pressbox'],['Kentucky Derby '],Horse Racing,1
Cody Dorman,['The Pressbox'],['Kentucky Derby '],Horse Racing,1
Will Levis QB1,['The Derby Informer'],['Kentucky Derby '],Horse Racing,1
Ryan Tannehill,['The Derby Informer'],['Kentucky Derby '],Horse Racing,1
LOKI Writer,['CBM (Comic Book Movie)'],['The Ashes '],Cricket,1
Rokeby Venus,['PINKVILLA'],['The Ashes '],Cricket,1
Bobby Brazier,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Carl Hopkinson,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Jon Snow,['Dexerto'],['The Ashes '],Cricket,1
Rozz,['The Tab'],['The Ashes '],Cricket,1
Biden AI,['Cointelegraph'],['The Ashes '],Cricket,1
Soars,['Best Stocks'],['The Ashes '],Cricket,1
George Pickens,['Behind The Steel Curtain'],['The Ashes '],Cricket,1
Sepp Kuss,['Global Cycling Network'],['Tour de France '],Cycling,1
Izzo,['Detroit News'],['The Ashes '],Cricket,1
Cameron Bancroft,['India Today'],['The Ashes '],Cricket,1
Roy Hill,['The Advocate Obituaries'],['The Masters '],Golf,1
Justin Langer,['India Today'],['The Ashes '],Cricket,1
King Gizzard,['The Georgia Straight'],['The Masters '],Golf,1
Owen Bates,['talkSPORT'],['The Masters '],Golf,1
Hochul,['WebWire'],['The Masters '],Golf,1
Mike Reiss Joins,['98.5 The Sports Hub'],['The Masters '],Golf,1
Mike Vrabel Good Fit for Pats,['98.5 The Sports Hub'],['The Masters '],Golf,1
Gordon Strachan,['Daily Record'],['The Masters '],Golf,1
Atletico,['Daily Record'],['The Masters '],Golf,1
Wemby,['Yahoo Sports'],['NBA '],Basketball,1
Miami Heat,['BBC'],['NBA '],Basketball,1
David Fincher Movie,['slantmagazine'],['The Masters '],Golf,1
Ranked,['slantmagazine'],['The Masters '],Golf,1
Pokemon Go,['CharlieINTEL.com'],['The Masters '],Golf,1
Nick Saban,['Sportskeeda'],['The Masters '],Golf,1
Kristen Saban,['Sportskeeda'],['The Masters '],Golf,1
Johnson,['UW-Madison'],['The Masters '],Golf,1
Amy Webb,['sxsw.com'],['The Masters '],Golf,1
Heartbroken,['Vancouver Sun'],['The Ashes '],Cricket,1
Ben Stokes,['WION'],['The Ashes '],Cricket,1
Steve Harmison,['WION'],['The Ashes '],Cricket,1
Bam Adebayo,['BBC'],['NBA '],Basketball,1
Battle,['Games Press'],['The Ashes '],Cricket,1
Veteran,['WSMV 4'],['The Ashes '],Cricket,1
Remnant 2,['The Escapist'],['The Ashes '],Cricket,1
Engulfed,['Burma News International'],['The Ashes '],Cricket,1
Vivian Silver,['The Washington Post'],['The Ashes '],Cricket,1
Manasse Itete Set,['Yahoo Sports'],['Super Bowl '],American Football,1
Patrick Mahomes,['Marca'],['Super Bowl '],American Football,1
Verdict,['Marca'],['Super Bowl '],American Football,1
Nic Kerdiles,['Radar Online'],['Olympic Tennis Tournament '],Tennis,1
Vinicius,['Managing Madrid'],['Madrid Open '],Tennis,1
Covid,['EL PAÍS USA'],['Madrid Open '],Tennis,1
Kidney Cancer Study Shows Improved,['OncLive'],['Madrid Open '],Tennis,1
Roy Curtis,['Sunday World'],['Madrid Open '],Tennis,1
Hunter,['The Canberra Times'],['Olympic Tennis Tournament '],Tennis,1
Overtakes Alcaraz,['Yardbarker'],['Olympic Tennis Tournament '],Tennis,1
Malik Beasley,['WLUC'],['NBA '],Basketball,1
Rod Stewart,['Glasgow Live'],['Madrid Open '],Tennis,1
Glasgow,['Glasgow Live'],['Madrid Open '],Tennis,1
Jump Shot,"[""Men's Journal""]",['NBA '],Basketball,1
Keldon Johnson,['KGNS'],['NBA '],Basketball,1
Draymond Green NBA Preview,['KOLN'],['NBA '],Basketball,1
Houston Rockets Launch,['Sports Illustrated'],['NBA '],Basketball,1
Kevon Looney NBA Preview,['KOLN'],['NBA '],Basketball,1
Adriano,['Sambafoot EN'],['Madrid Open '],Tennis,1
marijuana,['Dayton Daily News'],['Miami Open '],Tennis,1
Gordon Ramsay,['Yahoo! Voices'],['Miami Open '],Tennis,1
Anthony Edwards,['Firstpost'],['NBA '],Basketball,1
Wizard Nearing Return,['Sports Illustrated'],['NBA '],Basketball,1
Heat,['Miami Herald'],['Miami Open '],Tennis,1
Rachel Nichols,['Awful Announcing'],['NBA '],Basketball,1
Kim Reynold,['CBS Miami'],['Miami Open '],Tennis,1
wearing hajib,['CBS News'],['Miami Open '],Tennis,1
Paul George NBA Preview,['KOLN'],['NBA '],Basketball,1
Wooga Poplar’s,['The Miami Hurricane'],['Miami Open '],Tennis,1
Alvaro Benito,['Managing Madrid'],['Madrid Open '],Tennis,1
Constant Lestienne,['Last Word On Sports'],['WTA Finals '],Tennis,1
Taylor Swift,['FOX Sports'],['Super Bowl '],American Football,1
Karen Khachanov,['Last Word On Sports'],['WTA Finals '],Tennis,1
Bashundhara Kings,['Khel Now'],['Fed Cup '],Tennis,1
Rebecca Peterson,['SVT Nyheter'],['Fed Cup '],Tennis,1
Wants Ex Deborra-Lee Furness,['Radar Online'],['Olympic Tennis Tournament '],Tennis,1
Valiant Force,['geegeez'],['Fed Cup '],Tennis,1
Hungarian Beef ,['Emporia Gazette'],['Fed Cup '],Tennis,1
Stew,['Emporia Gazette'],['Fed Cup '],Tennis,1
Tom,['The Sun'],['Fed Cup '],Tennis,1
Sri Lanka,['Business Recorder'],['Fed Cup '],Tennis,1
Nuno Santos,['Arab News'],['Fed Cup '],Tennis,1
Verna Veterans,['Herald Goa'],['Fed Cup '],Tennis,1
Shakib Al Hasan - Sports,['Business Recorder'],['Fed Cup '],Tennis,1
Mykhailo Mudryk,['Football.London'],['Fed Cup '],Tennis,1
Joe,"['Eat This, Not That']",['Fed Cup '],Tennis,1
Mark Reason,['Stuff.co.nz'],['Fed Cup '],Tennis,1
Joe Just,"['Eat This, Not That']",['Fed Cup '],Tennis,1
Sagar,['The Hindu'],['Fed Cup '],Tennis,1
Michael Pascoe,['The New Daily'],['Fed Cup '],Tennis,1
Hugh Jackman,['Radar Online'],['Olympic Tennis Tournament '],Tennis,1
Van de Ven,['Football.London'],['Fed Cup '],Tennis,1
Son,['Football.London'],['Fed Cup '],Tennis,1
Jannik Sinner Thrills Fans With,['ATP Tour'],['ATP Finals '],Tennis,1
Nitto,['ATP Tour'],['ATP Finals '],Tennis,1
Bagel,['Yardbarker'],['WTA Finals '],Tennis,1
"Olympia"" - Serena",['Sportskeeda'],['WTA Finals '],Tennis,1
Lucas Pouille,['TennisUpToDate.com'],['WTA Finals '],Tennis,1
Mike McDaniel Media Availability,['MiamiDolphins'],['Miami Open '],Tennis,1
Tualatin Valley Water District,['Yahoo Finance'],['Miami Open '],Tennis,1
Damian Lillard,['Sports Illustrated'],['NBA '],Basketball,1
Irina Shayk,"[""Harper's BAZAAR""]",['NBA '],Basketball,1
Trevor Lawrence,['Bleacher Report'],['Super Bowl '],American Football,1
Joe Burrow,['Pro Football Focus'],['Super Bowl '],American Football,1
Caleb Williams,['Fox News'],['Super Bowl '],American Football,1
Rihanna,['Luxebook'],['Super Bowl '],American Football,1
Ike Taylor Recalls,['Steelers Depot'],['Super Bowl '],American Football,1
Steelers,['Packers.com'],['Super Bowl '],American Football,1
Art Hains,['KTTS'],['Super Bowl '],American Football,1
Record Decline,['EssentiallySports'],['Super Bowl '],American Football,1
Rob Parker,['Fox Sports Radio'],['Super Bowl '],American Football,1
Josh Allen,['Fox Sports Radio'],['Super Bowl '],American Football,1
Al ...,['Raiders.com'],['Super Bowl '],American Football,1
Cardi B Iconic,['Dailymotion'],['Super Bowl '],American Football,1
Cam Thomas,['Marca'],['NBA '],Basketball,1
Josh McDaniels,['Yahoo Sports'],['Super Bowl '],American Football,1
Dirk Nowitzki,['BasketNews.com'],['NBA '],Basketball,1
Matthew Stafford,['KABC-TV'],['Super Bowl '],American Football,1
Cleveland Browns,['Browns Wire'],['Super Bowl '],American Football,1
Latest Browns Betting Lines,['Browns Wire'],['Super Bowl '],American Football,1
Joey Bosa,['OCRegister'],['Super Bowl '],American Football,1
Khalil Mack,['OCRegister'],['Super Bowl '],American Football,1
Kirk Cousins,['talkSPORT'],['Super Bowl '],American Football,1
Vikings,['talkSPORT'],['Super Bowl '],American Football,1
Robert Kraft,['New York Post'],['Super Bowl '],American Football,1
Dak Prescott,['Sportskeeda'],['Super Bowl '],American Football,1
Nick Bosa,['CBS Sports'],['Super Bowl '],American Football,1
Exec,['Bleacher Report'],['Super Bowl '],American Football,1
Kenny Pickett,['Forbes'],['Super Bowl '],American Football,1
Classic Edition,['NBA.com'],['NBA '],Basketball,1
Henderson AL Rookie,['CBS News'],['Miami Open '],Tennis,1
Rookie Sensation,['Decrypt'],['NBA '],Basketball,1
Horner,['GPblog'],['Miami Open '],Tennis,1
Meek Mill Recalls,['Complex'],['Miami Open '],Tennis,1
Renting Rolls-Royce,['Complex'],['Miami Open '],Tennis,1
Rick Ross,['Complex'],['Miami Open '],Tennis,1
Jimmy Fortune,['Miami Valley Today'],['Miami Open '],Tennis,1
Remain Confident,['LakersNation.com'],['Miami Open '],Tennis,1
Natsu Omakase,['Orlando Weekly'],['Miami Open '],Tennis,1
Evan Ellingson,['Vulture'],['Miami Open '],Tennis,1
Bronny James,['KABC-TV'],['Miami Open '],Tennis,1
Jorge Masvidal,['talkSPORT'],['Miami Open '],Tennis,1
Brandon Hyde,['CBS News'],['Miami Open '],Tennis,1
Dominic Thiem,['EssentiallySports'],['Paris Masters '],Tennis,1
David Beckham,['Sportskeeda'],['Miami Open '],Tennis,1
Yung Miami Explains,['XXLMAG.COM'],['Miami Open '],Tennis,1
O1,['Pizza Marketplace'],['Miami Open '],Tennis,1
Thomas Bryant Explains,['UPROXX'],['Miami Open '],Tennis,1
Goolsbee,['NBC 6 South Florida'],['Miami Open '],Tennis,1
Luxury Softens,['BNN Bloomberg'],['Shanghai Masters '],Tennis,1
Kim Kardashian,['BNN Bloomberg'],['Shanghai Masters '],Tennis,1
Broadcaster,['Tennishead'],['Paris Masters '],Tennis,1
Charania Broke,['Sports Illustrated'],['NBA '],Basketball,1
ATP Moselle,['EssentiallySports'],['Paris Masters '],Tennis,1
Humbert,['EssentiallySports'],['Paris Masters '],Tennis,1
Victor Lafay ,['Cyclingnews'],['Tour de France '],Cycling,1
Claudio Chiappucci,['Global Cycling Network'],['Tour de France '],Cycling,1
Wydad AC,['Morocco World News'],['FIFA '],Soccer (Football),1
atp tour,['dienbien.gov.vn'],['ATP Tour '],Tennis,1
Garde,['Navajo-Hopi Observer'],['Asian Games Badminton '],Badminton,1
Kane Brown,['The Herald-Times'],['Indy 500 '],Motorsports,1
Richardson,['WRTV Indianapolis'],['Indy 500 '],Motorsports,1
JJ McCarthy Heisman,['IndyStar'],['Indy 500 '],Motorsports,1
Brie Larson,['Popverse'],['Indy 500 '],Motorsports,1
Charles,['Scottish Daily Express'],['Indy 500 '],Motorsports,1
Jenny Gilruth,['Scottish Daily Express'],['Indy 500 '],Motorsports,1
Lorna Slater,['Scottish Daily Express'],['Indy 500 '],Motorsports,1
Kenny Chesney,['CBS News'],['US Open '],Tennis,1
Cancer Therapy,['ProPublica'],['US Open '],Tennis,1
Taylor Gray Are Staying Put,['Autoweek'],['NASCAR '],Motorsports,1
Golden Grail Beverages,['Yahoo Finance'],['NASCAR '],Motorsports,1
William Byron,['EssentiallySports'],['NASCAR '],Motorsports,1
Historic Season,['EssentiallySports'],['NASCAR '],Motorsports,1
Denny Hamlin Urges,['The Sportsrush'],['NASCAR '],Motorsports,1
Truck Manufacturer,['San Francisco Chronicle'],['NASCAR '],Motorsports,1
Custer,['Rutland Herald'],['NASCAR '],Motorsports,1
Rhodes,['Rutland Herald'],['NASCAR '],Motorsports,1
Darris Summers,['The Dominion Post'],['NASCAR '],Motorsports,1
Stone,['The Dominion Post'],['NASCAR '],Motorsports,1
Frankie Muniz,['USA Today'],['NASCAR '],Motorsports,1
Emmy,['Sportskeeda'],['NASCAR '],Motorsports,1
Leo Jackson Dead,['Frontstretch.com'],['NASCAR '],Motorsports,1
Bubba Wallace Reflects,['The Sportsrush'],['NASCAR '],Motorsports,1
Ross Chastain,['EssentiallySports'],['NASCAR '],Motorsports,1
Phil Neville,['FOX Sports'],['UEFA Euro '],Soccer (Football),1
Rodionov,['tennisnet.com'],['ATP Tour '],Tennis,1
Dave Mathers,['Inside Track Motorsport News'],['NASCAR '],Motorsports,1
Porto,['Daily Mail'],['UEFA Euro '],Soccer (Football),1
Netanyahu,['The Guardian'],['US Open '],Tennis,1
Bloomberg,['Bloomberg'],['US Open '],Tennis,1
Preston,['Grimsby Live'],['Thomas Cup '],Badminton,1
David Healy,['Grimsby Live'],['Thomas Cup '],Badminton,1
Roy King-Arif,['The Star Online'],['Olympic Badminton '],Badminton,1
Zii Jia,['The Star Online'],['Olympic Badminton '],Badminton,1
Tze Yong,['The Star Online'],['Olympic Badminton '],Badminton,1
Preliminary Results,['Business Wire'],['US Open '],Tennis,1
Mike Rogers,['WDET'],['US Open '],Tennis,1
Fed Waller,"[""Investor's Business Daily""]",['Uber Cup '],Badminton,1
Rob Key,['The Guardian'],['Uber Cup '],Badminton,1
Newcastle United fan,['BBC'],['Uber Cup '],Badminton,1
E2,['Reuters'],['US Open '],Tennis,1
US Senate,['WDET'],['US Open '],Tennis,1
Storm Hunter,['Tennis Australia'],['WTA Tour '],Tennis,1
Peter Meijer,['WDET'],['US Open '],Tennis,1
Match Thread,['The Mane Land'],['US Open '],Tennis,1
BAS,['Bank Automation News'],['US Open '],Tennis,1
Bidyut Goswami,['Sportstar'],['US Open '],Tennis,1
Chicken Salad Chick,['Verdict Foodservice'],['US Open '],Tennis,1
Andy Staples,['Golfweek'],['US Open '],Tennis,1
Tournoi de Metz,['Tennis Majors'],['ATP Tour '],Tennis,1
Hamad Medjedovic - Christopher O'Connell,"[""L'Équipe""]",['ATP Tour '],Tennis,1
Jack Draper - Maximilian Marterer,"[""L'Équipe""]",['ATP Tour '],Tennis,1
Ofner,['tennisnet.com'],['ATP Tour '],Tennis,1
Brad Keselowski,['EssentiallySports'],['NASCAR '],Motorsports,1
Kyle Larson,['FloRacing'],['NASCAR '],Motorsports,1
Mark Cavendish,['Outside Magazine'],['Tour de France '],Cycling,1
Cem Ilkel - Max,['Eurosport COM'],['US Open '],Tennis,1
Martin Brundle,['Media Referee'],['24 Hours of Le Mans '],Motorsports,1
Marc Marquez,['GPOne.com'],['MotoGP '],Motorsports,1
Ryo,['Crash'],['MotoGP '],Motorsports,1
Corrado Cecchinelli,['MotoMatters.com'],['MotoGP '],Motorsports,1
Andrea Iannone,['Crash'],['MotoGP '],Motorsports,1
Alex Lowes,['Crash'],['MotoGP '],Motorsports,1
Evolution statt,['SPEEDWEEK.COM'],['MotoGP '],Motorsports,1
Dan Rossomondo,['SPEEDWEEK.COM'],['MotoGP '],Motorsports,1
Bautista,['motogp.com'],['MotoGP '],Motorsports,1
Michelin Introducing,['Motorcycle & Powersports News'],['MotoGP '],Motorsports,1
Porsche Wehrlein,['Formula E'],['Formula E '],Motorsports,1
Hamilton,['RaceFans'],['Formula E '],Motorsports,1
Carlos Alcaraz ,['Tennishead'],['US Open '],Tennis,1
Toddler,['Richmond Register'],['Formula E '],Motorsports,1
Rahal Letterman Lanigan,['RACER'],['Formula E '],Motorsports,1
Jenny Walker,['Warwick Valley Central School District'],['WRC '],Motorsports,1
Brasil,['Project N'],['WRC '],Motorsports,1
Goals,['FIFA.com'],['FIFA '],Soccer (Football),1
Charlie Neal,['Sports Illustrated'],['WRC '],Motorsports,1
Justin Turner,['bleachernation.com'],['WRC '],Motorsports,1
Austin Barnes,['True Blue LA'],['WRC '],Motorsports,1
Kilkenny,['Kilkenny Live'],['WRC '],Motorsports,1
Al Nahda,['Times of Oman'],['Fed Cup '],Tennis,1
Fatma Samoura,['FIFA.com'],['FIFA '],Soccer (Football),1
Judy Dixon,['GazetteNET'],['US Open '],Tennis,1
Wayne Taylor Racing,['Diariomotor'],['24 Hours of Le Mans '],Motorsports,1
