title,processed_title,League Name,category
"Guardiola praises late Venables' 'incredible' impact on Barcelona, Spanish soccer","Guardiola praise late Venables ' ' incredible ' impact Barcelona , spanish soccer",other,Others
WATCH: Harry Redknapp pays tribute to former England manager Terry Venables,WATCH : Harry Redknapp pay tribute former England manager Terry Venables,other,Others
RIP Terry Venables – the most brilliant football intellect,RIP Terry Venables – brilliant football intellect,other,Others
'The HG Wells of football': How Terry Venables became a cultural icon,' HG Wells football ' : Terry Venables become cultural icon,other,Others
MNF tribute to Venables: How Euro 96 team encapsulated his coaching style,MNF tribute venable : Euro 96 team encapsulate coach style,other,Others
Gary Neville reacts to death of Terry Venables with heartwarming message,Gary Neville react death Terry Venables heartwarming message,other,Others
Man City boss Guardiola salutes 'incredible' Venables,Man City boss Guardiola salute ' incredible ' venable,other,Others
Inside hidden Spanish hotel once owned by ex-England manager Terry Venables – fit with former football p...,inside hide spanish hotel ex - england manager Terry Venables – fit former football p ...,other,Others
Terry Venables was challenged by ‘Mad’ Frankie Fraser – but pal ingeniously cooled situation,Terry Venables challenge ' mad ' Frankie Fraser – pal ingeniously cool situation,other,Others
Tottenham pay tribute to Venables in Villa clash,Tottenham pay tribute Venables Villa clash,other,Others
The Essex life of England football legend Terry Venables with Romford pub landlord parents,Essex life England football legend Terry Venables Romford pub landlord parent,other,Others
How ‘Teesside Tel’ Terry Venables helped save Middlesbrough and set them on the road to glory,' Teesside Tel ' Terry Venables help save Middlesbrough set road glory,other,Others
Tributes Paid To Former Manager Terry Venables,tribute pay former Manager Terry Venables,other,Others
QPR boss dedicates vital victory over Stoke to Hoops hero Terry Venables,QPR boss dedicate vital victory Stoke Hoops hero Terry Venables,other,Others
"Terry Venables - footballer, TV crime writer, singer, bar owner, novelist and England boss El Tel","Terry Venables - footballer , tv crime writer , singer , bar owner , novelist England boss El Tel",other,Others
Ex-Man Utd captain Robson pays tribute to Venables,Ex - Man Utd captain Robson pay tribute venable,other,Others
'Most innovative' coach Venables dies at 80 after long illness,' innovative ' coach Venables die 80 long illness,other,Others
Terry Venables: The charismatic manager who so nearly brought football home,Terry Venables : charismatic manager nearly bring football home,other,Others
Former Leeds United and England manager Terry Venables passes away aged 80,former Leeds United England manager Terry Venables pass away aged 80,other,Others
Alan Shearer pays tribute to ‘genius’ Terry Venables after England legend’s passing,Alan Shearer pay tribute ' genius ' Terry Venables England legend ’s pass,other,Others
Terry Venables was ‘revolutionary’ and George Graham nicked all of his training sessions at Arsenal...,Terry Venables ' revolutionary ' George Graham nick training session Arsenal ...,other,Others
Tottenham announce Terry Venables tribute plans ahead of Aston Villa,Tottenham announce Terry Venables tribute plan ahead Aston Villa,other,Others
"Gary Lineker 'devastated' as former England, Tottenham and Barcelona manager Terry Venables dies","Gary Lineker ' devastate ' former England , Tottenham Barcelona manager Terry Venables die",other,Others
"Ex-England manager, Terry Venables is dead","Ex - England manager , Terry Venables dead",other,Others
‘Even better man’: Tributes for ex-Socceroos coach,' even well man ' : tribute ex - socceroos coach,other,Others
Terry Venables: gambler of Euro 96,Terry Venables : gambler Euro 96,other,Others
Terry Venables’ Barcelona And England Teams Will Be Eternal,Terry Venables ' Barcelona England Teams eternal,other,Others
Football: Soccer-Australia mourns former Socceroos boss Venables,football : Soccer - Australia mourn former Socceroos boss venable,other,Others
Man City: Pep Guardiola tribute to 'true gentleman' Terry Venables,Man City : Pep Guardiola tribute ' true gentleman ' Terry Venables,other,Others
Former English Football Coach Terry Venables Passes Away at 80,former English Football Coach Terry Venables pass away 80,other,Others
Ten Hag tempted by high-stakes Man Utd swap as Bayern Munich offer 253-goal star for big-money flop,ten Hag tempt high - stake Man Utd swap Bayern Munich offer 253 - goal star big - money flop,other,Others
Vieira out for 'weeks' as Arsenal injuries mount,vieira ' week ' Arsenal injury mount,other,Others
Raphael Varane livid with two Erik ten Hag decisions - but he could still block his exit,Raphael Varane livid two Erik ten Hag decision - could still block exit,other,Others
Erik ten Hag rejects claims he fallen out with Raphael Varane,Erik ten Hag reject claim fall Raphael Varane,other,Others
Man Utd fan favourite could be the first transfer victim of the Sir Jim Ratcliffe era,Man Utd fan favourite could first transfer victim Sir Jim Ratcliffe era,other,Others
Real Madrid legend could leave Manchester United,real Madrid legend could leave Manchester United,other,Others
"TRANSFER GOSSIP COLUMN: Manchester United will NOT sell Raphael Varane in January, as Chelsea hope to finally","transfer GOSSIP COLUMN : Manchester United sell Raphael Varane January , Chelsea hope finally",other,Others
Daily Schmankerl: Are Bayern Munich and Manchester United planning a swap of Thomas Müller and Raphaël Varane…,Daily Schmankerl : Bayern Munich Manchester United plan swap Thomas Müller Raphaël Varane …,other,Others
Erik ten Hag sends media brutal message after international break rumours,Erik ten Hag send medium brutal message international break rumour,other,Others
Football transfer rumours: Bayern Munich ready Varane bid; Chelsea eye Tomori reunion,football transfer rumour : Bayern Munich ready Varane bid ; Chelsea eye Tomori reunion,other,Others
Lens manager sends transfer message to Raphael Varane amid Manchester United exit rumours,Lens manager send transfer message Raphael Varane amid Manchester United exit rumour,other,Others
"Man Utd now want to sell another ""incredible"" big-money player","Man Utd want sell another "" incredible "" big - money player",other,Others
Thomas Tuchel wants Raphael Varane but wages and poor injury record a concern - Man United News And Transfer ...,Thomas Tuchel want Raphael Varane wage poor injury record concern - Man United News transfer ...,other,Others
Manchester United boss Ten Hag denies rift with Rafaël Varane - ESPN,Manchester United boss Ten Hag deny rift Rafaël Varane - ESPN,other,Others
EPL: Ten Hag falls out with another Manchester United star,EPL : ten Hag fall another Manchester United star,epl,Soccer
Raphael Varane left stunned by Man Utd exile with ex-Real Madrid star lining up two possible transfers for...,Raphael Varane leave stunned Man Utd exile ex - real Madrid star line two possible transfer ...,other,Others
Chelsea board make shock request to sign Man Utd star,Chelsea board make shock request sign Man Utd star,other,Others
Raphael Varane to join Harry Kane? Bayern Munich considering shock move for out-of-favour Man Utd defender in ...,Raphael Varane join Harry Kane ? Bayern Munich consider shock move - - favour Man Utd defender ...,other,Others
William Gallas sends message to Manchester United star Raphael Varane,William Gallas send message Manchester United star Raphael Varane,other,Others
Manchester United 'aware' star is 'unhappy' at Old Trafford - Will give 'green light' for sale in January,Manchester United ' aware ' star ' unhappy ' Old Trafford - give ' green light ' sale January,other,Others
"Bayern Munich considering Raphael Varane transfer, Real Madrid could target Timo Werner - Paper Round","Bayern Munich consider Raphael Varane transfer , Real Madrid could target Timo Werner - Paper Round",other,Others
Erik ten Hag identifies two replacements for Raphael Varane as Man Utd make exit decision,Erik ten Hag identify two replacement Raphael Varane Man Utd make exit decision,epl,Soccer
'We've got a problem' - Arsenal boss Mikel Arteta delivers worrying Fabio Vieira injury update as operation and ...,' get problem ' - arsenal boss Mikel Arteta deliver worry Fabio Vieira injury update operation ...,other,Others
"Arteta reveals Vieira surgery, plus updates on White, Partey & Smith Rowe","Arteta reveal Vieira surgery , plus update White , Partey & Smith Rowe",other,Others
"Every word Mikel Arteta said on Fabio Vieira injury, Thomas Partey return, and fluid attack","every word Mikel Arteta say Fabio Vieira injury , Thomas Partey return , fluid attack",other,Others
Gallery: Training ahead of UCL night | Gallery | News,gallery : training ahead UCL night | Gallery | News,other,Others
Arsenal suffer big injury blow ahead of Lens clash as Vieira undergoes surgery,arsenal suffer big injury blow ahead Lens clash Vieira undergoe surgery,other,Others
"Arsenal injury update: Partey, Smith Rowe and Timber latest return dates","arsenal injury update : Partey , Smith Rowe Timber late return date",other,Others
Mikel Arteta confirms Arsenal injury blow with star set for weeks out after surgery,Mikel Arteta confirm Arsenal injury blow star set week surgery,other,Others
Mikel Arteta confirms major setback for Arsenal star,Mikel Arteta confirm major setback Arsenal star,other,Others
Mikel Arteta provides Ben White injury update before Arsenal face Lens,Mikel Arteta provide Ben White injury update Arsenal face Lens,other,Others
Mikel Arteta reveals Arsenal midfielder Fabio Vieira will be out until next year after undergoing surgery on a,Mikel Arteta reveal Arsenal midfielder Fabio Vieira next year undergo surgery,other,Others
Mikel Arteta confirms Arsenal star Fabio Vieira is out for rest of 2023 but Ben White could return to face...,Mikel Arteta confirm Arsenal star Fabio Vieira rest 2023 Ben White could return face ...,other,Others
Mikel Arteta delivers worrying Fabio Vieira injury update after Arsenal star misses training,Mikel Arteta deliver worry Fabio Vieira injury update Arsenal star miss training,other,Others
Arteta on Fabio availability and team news | Team news | News,Arteta Fabio availability team news | Team news | News,other,Others
Every word of Mikel pre-Lens press conference,every word mikel pre - Lens press conference,other,Others
Will Thomas Partey or Emile Smith Rowe play for Arsenal again in 2023? Mikel Arteta issues double injury update ...,Thomas Partey Emile Smith Rowe play Arsenal 2023 ? Mikel Arteta issue double injury update ...,other,Others
Arsenal handed major blow as senior players train ahead of RC Lens Champions League clash,arsenal hand major blow senior player train ahead RC Lens Champions League clash,champions league,
"Arsenal press conference highlights - Arteta on Vieira injury blow, Smith Rowe and Lens clash","arsenal press conference highlight - Arteta Vieira injury blow , Smith Rowe Lens clash",other,Others
"Arsenal injury update: Partey, Vieira and Smith Rowe latest news and return dates","arsenal injury update : Partey , Vieira Smith Rowe late news return date",other,Others
£50m Arsenal star not in team training today ahead of RC Lens clash,£ 50 Arsenal star team train today ahead RC Lens clash,other,Others
'I won't stand for it.' Russell Westbrook admonishes fans for inappropriate comments,' I wo n't stand . ' Russell Westbrook admonish fan inappropriate comment,other,Others
Man Utd face hock transfer exit' as Ten Hag decision means his 'days are numbered',Man Utd face hock transfer exit ' ten hag decision mean ' day number ',other,Others
Raphaël Varane wants to leave Manchester United,Raphaël Varane want leave Manchester United,other,Others
Man Utd spotted major issue in Raphael Varane medical which impacted transfer in a big way,Man Utd spot major issue Raphael Varane medical impact transfer big way,other,Others
£34m star difficult Manchester United situation is about to get even worse,£ 34 star difficult Manchester United situation get even bad,other,Others
Raphael Varane’s relationship with Erik ten Hag suffers setback,Raphael Varane ’s relationship Erik ten Hag suffer setback,other,Others
Manchester United set Raphael Varane asking price,Manchester United set Raphael Varane ask price,other,Others
'Don't know what you're talking about': Manchester United manager Ten Hag denies rumours of fallout with Varane,' n't know talk ' : Manchester United manager Ten Hag deny rumour fallout Varane,other,Others
Raphael Varane ‘set to leave Man United in summer’ and tipped for move to Italy or Saudi Arabia...,Raphael Varane ' set leave Man United summer ' tip move Italy Saudi Arabia ...,other,Others
Raphael Varane and four other transfer targets Bayern Munich have been tipped to sign in January,Raphael Varane four transfer target Bayern Munich tip sign January,other,Others
Manchester United boss Ten Hag denies rift with Raphaël Varane - ESPN,Manchester United boss Ten Hag deny rift Raphaël Varane - ESPN,other,Others
Man Utd ready to give green light for Raphael Varane sale in January,Man Utd ready give green light Raphael Varane sale January,other,Others
Every Man Utd player Erik ten Hag has fallen out with as Varane relationship 'breaks down',every Man Utd player Erik ten Hag fall Varane relationship ' break ',other,Others
Raphael Varane 'will leave Manchester United next summer',Raphael Varane ' leave Manchester United next summer ',other,Others
Does Raphael Varane want to leave Man Utd? Out-of-favour defender stance on potential transfer revealed amid ...,Raphael Varane want leave Man Utd ? - - favour defender stance potential transfer reveal amid ...,other,Others
Has Erik ten Hag fallen out with Raphael Varane? Man Utd boss addresses rift rumours & talk of misfiring Red Devils ...,Erik ten Hag fall Raphael Varane ? Man Utd boss address rift rumour & talk misfire Red Devils ...,other,Others
Revealed: The moment Erik ten Hag and Raphael Varane relationship 'broke down' as Man Utd star edges towards ...,reveal : moment Erik ten Hag Raphael Varane relationship ' break ' Man Utd star edge towards ...,other,Others
Miserable Man Utd superstar offered dream switch to UCL club - 'he is welcomed with open arms',Miserable Man Utd superstar offer dream switch UCL club - ' welcome open arm ',other,Others
Man Utd sanction exit of 'unhappy' superstar who had enough of Ten Hag,Man Utd sanction exit ' unhappy ' superstar enough ten hag,other,Others
"Exclusive: Shocked Man Utd superstar plans exit route, as Ten Hag lines up big-name replacement","exclusive : Shocked Man Utd superstar plan exit route , ten Hag line big - name replacement",epl,Soccer
Raphael Varane 'makes decision' on his future and more Manchester United transfer rumours,Raphael Varane ' make decision ' future Manchester United transfer rumour,other,Others
Raphael Varane given fresh Man Utd advice as theory emerges on why he been snubbed,Raphael Varane give fresh Man Utd advice theory emerge snub,other,Others
"Russell Westbrook confronts fan after Clippers' loss to Nuggets, condemns 'inappropriate' heckling","Russell Westbrook confront fan Clippers ' loss Nuggets , condemn ' inappropriate ' heckle",other,Others
Paul George Reacts to Russell Westbrook Heated Fan Incident,Paul George Reacts Russell Westbrook Heated Fan Incident,other,Others
"Clippers Notes: Westbrook, Harden, Jackson, Jordan","clipper Notes : Westbrook , Harden , Jackson , Jordan",other,Others
Russell Westbrook addresses verbal exchange with fan in Nuggets-Clippers,Russell Westbrook address verbal exchange fan Nuggets - Clippers,other,Others
Former Washington Wizards Guard Russell Westbrook Gets into Another Fan Altercation,former Washington Wizards Guard Russell Westbrook get another Fan Altercation,other,Others
Ben Golliver: Russell Westbrook gets into an extended verbal exchange with a courtside heckler as Cl…,Ben Golliver : Russell Westbrook get extended verbal exchange courtside heckler Cl …,other,Others
Clippers star Russell Westbrook rows with ANOTHER angry fan during loss against the Nuggets... just seven mont,clipper star Russell Westbrook row another angry fan loss Nuggets ... seven mont,other,Others
Russell Westbrook gets into a new heated argument with a fan: 'I won't allow it no more',Russell Westbrook get new heated argument fan : ' I wo n't allow ',other,Others
Russell Westbrook Gets In Heated Spat With Fans,Russell Westbrook get Heated Spat fan,other,Others
Russell Westbrook gets into shouting match with fan late in Clippers loss,Russell Westbrook get shout match fan late Clippers loss,other,Others
"Clippers' Russell Westbrook addresses verbal altercation with fan, Paul George comes to his defense","clipper ' Russell Westbrook address verbal altercation fan , Paul George come defense",other,Others
Russell Westbrook stands up for his son in angry confrontation with ‘shameless Lakers fan’...,Russell Westbrook stand son angry confrontation ' shameless Lakers fan ' ...,other,Others
"Russell Westbrook Gets Involved in Argument With Fan, Won't Repeat What Was Said but Admits 'I'm Just Protecting ...","Russell Westbrook get involve Argument Fan , wo n't repeat say admit ' I protect ...",other,Others
Clippers: Russell Westbrook called out by Kendrick Perkins after fan altercation,clipper : Russell Westbrook call Kendrick Perkins fan altercation,other,Others
Russell Westbrook Confronted a Heckler Again,Russell Westbrook confront Heckler Again,other,Others
'I won't allow it': NBA star Russell Westbrook clashes with fan during game,' I wo n't allow ' : NBA star Russell Westbrook clash fan game,nba,Basketball
Russell Westbrook has a point about fans crossing the line,Russell Westbrook point fan cross line,other,Others
Russell Westbrook has words with fan late in Clippers' loss,Russell Westbrook word fan late Clippers ' loss,other,Others
Russell Westbrook gets into verbal dispute with fan at end of Clippers home loss,Russell Westbrook get verbal dispute fan end clipper home loss,other,Others
Clippers' Russell Westbrook Explains Heated Exchange with Fan: 'I Won't Stand for It',clipper ' Russell Westbrook Explains Heated Exchange Fan : ' I wo n't stand ',other,Others
Russell Westbrook gets into shouting match with fan at Clippers game,Russell Westbrook get shout match fan clipper game,other,Others
Russell Westbrook and fan engage in verbal exchange late in Clippers' loss to Nuggets,Russell Westbrook fan engage verbal exchange late Clippers ' loss nugget,other,Others
Clippers' Russell Westbrook Says He 'Won't Allow' Disrespect After Incident With Fan,clipper ' Russell Westbrook say ' wo n't allow ' Disrespect Incident Fan,other,Others
Russell Westbrook involved in another fan dispute at end of Clippers’ loss to Nuggets: ‘I won’t stand for it’,Russell Westbrook involve another fan dispute end Clippers ’ loss nugget : ' I wo n’t stand ',other,Others
Russell Westbrook: 'I've took a lot of people saying anything and getting away with it but I won't stand for it',Russell Westbrook : ' I take lot people say anything get away I wo n't stand ',other,Others
Erik ten Hag rubbishes Raphael Varane ‘rumours’ and insists Manchester United star is ‘very impor...,Erik ten Hag rubbish Raphael Varane ' rumour ' insist Manchester United star ' impor ...,other,Others
Manchester United manager Erik ten Hag addresses Raphael Varane future and possible striker signing,Manchester United manager Erik ten Hag address Raphael Varane future possible striker signing,other,Others
Man Utd outcast Raphael Varane picks 'two destinations' for Old Trafford transfer escape,Man Utd outcast Raphael Varane pick ' two destination ' Old Trafford transfer escape,other,Others
Man Utd star tunned' after being exiled by Erik ten Hag,Man Utd star tun ' exile Erik ten hag,other,Others
Man Utd et out Raphael Varane transfer terms' as star gets January green light,Man Utd et Raphael Varane transfer term ' star get January green light,other,Others
Raphael Varane has been set same test as Jadon Sancho by Erik ten Hag at Manchester United,Raphael Varane set test Jadon Sancho Erik ten Hag Manchester United,other,Others
Raphael Varane could QUIT Man United as relationship with Erik ten Hag 'breaks down': report,Raphael Varane could QUIT Man United relationship Erik ten Hag ' break ' : report,other,Others
Erik ten Hag makes statement on Raphael Varane future at Man Utd,Erik ten Hag make statement Raphael Varane future Man Utd,other,Others
Russell Westbrook addresses exchange with fan during Clippers game,Russell Westbrook address exchange fan Clippers game,other,Others
Clippers' Russell Westbrook gets brutally honest on 'unfortunate' altercation with fan,clipper ' Russell Westbrook get brutally honest ' unfortunate ' altercation fan,other,Others
£26m Arsenal star now 'promises' that he not ignoring some of his teammates,£ 26 Arsenal star ' promise ' ignore teammate,mma,Fighting
"Manchester United, Liverpool and Tottenham Hotspur keen on Adam Wharton","Manchester United , Liverpool Tottenham Hotspur keen Adam Wharton",other,Others
Every word of Leo pre-Lens press conference,every word Leo pre - Lens press conference,other,Others
Leandro Trossard reveals which Arsenal star is the perfect Granit Xhaka replacement,Leandro Trossard reveal Arsenal star perfect Granit Xhaka replacement,epl,Soccer
Tottenham join race for Blackburn Adam Wharton,Tottenham join race Blackburn Adam Wharton,other,Others
Liverpool admire ‘Champions League level’ gem touted for ‘big future’; Tyler Morton knows him well,liverpool admire ' Champions League level ' gem tout ' big future ' ; Tyler Morton know well,champions league,
"Tottenham keen on 19-year-old Man Utd target, Spurs on good terms with his club","Tottenham keen 19 - year - old Man Utd target , spur good term club",other,Others
Liverpool among six clubs chasing 'Champions League level' starlet,liverpool among six club chase ' Champions League level ' starlet,champions league,
Neil Robertson dumped out of UK Championship 2023 by inspired Zhou Yuelong in first-round clash,Neil Robertson dump UK Championship 2023 inspire Zhou Yuelong first - round clash,other,Others
Ronnie O'Sullivan comes from behind to beat Anthony McGill and book spot in last 16 of UK Championship 2023,Ronnie O'Sullivan come behind beat Anthony McGill book spot last 16 UK Championship 2023,other,Others
Ronnie O'Sullivan explains 'prevention over cure' approach to protecting mental health - 'It about enjoying snooker',Ronnie O'Sullivan explain ' prevention cure ' approach protect mental health - ' enjoy snooker ',other,Others
UK Championship 2023 as it happened - Neil Robertson crashes out after Ronnie O'Sullivan progresses with battling win,UK Championship 2023 happen - Neil Robertson crash Ronnie O'Sullivan progress battle win,other,Others
(2nd LD) Footballer Hwang Ui-jo banned from nat'l team during police probe into illegal filming charges,( 2nd LD ) Footballer Hwang Ui - jo ban nat'l team police probe illegal filming charge,other,Others
South Korea suspend striker Hwang in sex tape investigation,South Korea suspend striker Hwang sex tape investigation,other,Others
Footballer Hwang sister-in-law charged with disclosing his private videos,Footballer Hwang sister - - law charge disclose private video,other,Others
Footballer Hwang Ui-jo banned from nat'l team during police probe into illegal filming charges,Footballer Hwang Ui - jo ban nat'l team police probe illegal filming charge,other,Others
Norwich City loan striker Hwang embroiled in sex scandal,Norwich City loan striker Hwang embroil sex scandal,other,Others
Klinsmann stands by Korea int'l Hwang Ui-jo amid police probe on filming accusation,Klinsmann stand Korea int'l Hwang Ui - jo amid police probe film accusation,other,Others
Norwich City loan striker Hwang dropped by South Korea,Norwich City loan striker Hwang drop South Korea,other,Others
Civic group calls for Hwang Ui-jo to be banned from games,civic group call Hwang Ui - jo ban game,other,Others
"Hwang Ui-jo claims are peculations,' Klinsmann says after playing midfielder against China","Hwang Ui - jo claim peculation , ' Klinsmann say play midfielder China",other,Others
"MotoGP, Dall'Igna: It an honour to have Marquez, but I'll listen to him like everyone else","MotoGP , Dall'Igna : honour Marquez , I 'll listen like everyone else",other,Others
Gigi Dall'Igna 'curious to hear' Marc Marquez comments,Gigi Dall'Igna ' curious hear ' Marc Marquez comment,other,Others
"MotoGP, Dall'Igna: Ducati didn't want Marc Marquez, it will be a complicated situation","MotoGP , Dall'Igna : Ducati n't want Marc Marquez , complicated situation",other,Others
"Ducati wasn't unanimouis about Marc Márquez, reveals Jorge Lorenzo: 'There are two worrying aspects'","Ducati n't unanimouis Marc Márquez , reveal Jorge Lorenzo : ' two worrying aspect '",other,Others
Mikel Arteta hits back at Jamie Carragher criticism of Arsenal’s start to season,Mikel Arteta hit back Jamie Carragher criticism Arsenal ’s start season,other,Others
Arteta: Games aren’t going to be fluent when there’s nowhere to run,arteta : Games n’t go fluent nowhere run,other,Others
BWF China Masters 2023: Naraoka Kodai wins title to end Nishimoto Kenta season as Chen Yufei also triumphs on ...,BWF China Masters 2023 : Naraoka Kodai win title end Nishimoto Kenta season Chen Yufei also triumph ...,other,Others
Chinese shuttlers win 3 titles in badminton China Masters,chinese shuttler win 3 title badminton China Masters,other,Others
Badminton: Naraoka nails biggest title so far,Badminton : Naraoka nail big title far,other,Others
Liang / Wang cling on to win,Liang / Wang cle win,other,Others
Chen Yu Fei close to treble,Chen Yu Fei close treble,other,Others
Naraoka breaks Nishimoto dominance and wins the Li-Ning Master in China,Naraoka break Nishimoto dominance win Li - Ning Master China,other,Others
Highlights of China Masters Badminton Tournament 2023,highlight China Masters Badminton Tournament 2023,other,Others
"China Masters: Chen cruises into last 16, Marin upset","China Masters : Chen cruise last 16 , Marin upset",other,Others
Japan becomes second nation after China to win single discipline in three successive editions at China Masters,Japan become second nation China win single discipline three successive edition China Masters,ipl,
Badminton - BWF China Masters 2023: Nishimoto Kenta reaches final to close in on BWF World Tour Finals berth - results,Badminton - BWF China Masters 2023 : Nishimoto Kenta reach final close BWF World Tour Finals berth - result,other,Others
China secures women singles title of badminton China Masters in advance,China secure woman single title badminton China Masters advance,other,Others
China Chen bags fourth title of season,China Chen bag fourth title season,other,Others
Chen faces Han in women final at China Masters,Chen face Han woman final China Masters,other,Others
Liverpool explore move for ‘very mature’ Serie A prodigy who made history on Saturday – report,liverpool explore move ' mature ' Serie A prodigy make history Saturday – report,serie a,
"Chelsea, Liverpool and Man City explore move for Milan 15-year-old Francesco Camarda","Chelsea , Liverpool Man City explore move Milan 15 - year - old Francesco Camarda",other,Others
Francesco Camarda: AC Milan history-making 'hurricane' set to take Serie A by storm at just 15,Francesco Camarda : AC Milan history - make ' hurricane ' set take Serie A storm 15,serie a,
Liverpool could make transfer of record-breaking star but Jürgen Klopp has one major obstacle,Liverpool could make transfer record - break star Jürgen Klopp one major obstacle,other,Others
"Man City and Arsenal join Liverpool, Chelsea in transfer tussle for record-breaking Serie A star","Man City Arsenal join Liverpool , Chelsea transfer tussle record - break Serie A star",serie a,
"Talent has no age, says Pioli, as 15-year-old called up to Milan squad","talent age , say Pioli , 15 - year - old call Milan squad",other,Others
Calabria reveals advice to Milan debutant Camarda,Calabria reveal advice Milan debutant Camarda,other,Others
"AC Milan starts Christian Pulisic, but his 15-year-old teammate makes history","AC Milan start Christian Pulisic , 15 - year - old teammate make history",mma,Fighting
Liverpool 'eyeing' deal for Serie A star as Alisson Becker injury 'update' emerges,Liverpool ' eye ' deal Serie A star Alisson Becker injury ' update ' emerge,serie a,
MN: Why Camarda cannot play against Borussia Dortmund in the Champions League,MN : Camarda play Borussia Dortmund Champions League,champions league,
Braida urges AC Milan to be careful with Camarda,Braida urge AC Milan careful Camarda,other,Others
Chelsea target young goal machine on verge of big time,chelsea target young goal machine verge big time,other,Others
Milan’s starlet Francesco Camarda becomes Serie A’s youngest player,Milan ’s starlet Francesco Camarda become Serie A ’s young player,serie a,
"AC Milan teenager Francesco Camarda becomes Serie A youngest-ever debutant, Maurizio Sarri Lazio tactics f","AC Milan teenager Francesco Camarda become Serie youngest - ever debutant , Maurizio Sarri Lazio tactic f",serie a,
Chelsea 'approach family' of 15-year-old history maker as Todd Boehly looks to strike deal,Chelsea ' approach family ' 15 - year - old history maker Todd Boehly look strike deal,other,Others
Milan R9-inspired punk rock striker prospect is ready to take Serie A by storm - and he only 15,Milan R9 - inspire punk rock striker prospect ready take Serie A storm - 15,serie a,
Francesco Camarda makes history as he becomes youngest ever Serie A player,Francesco Camarda make history become youngest ever Serie player,serie a,
Report: Talented Milan forward Francesco Camarda attracting BVB interest,report : Talented Milan forward Francesco Camarda attract bvb interest,other,Others
"AC Milan kid, 15, dubbed ‘next Haaland’ after becoming Serie A’s youngest ever player and academy stats are...","AC Milan kid , 15 , dub ' next Haaland ' become Serie A ’s young ever player academy stat ...",serie a,
"Liverpool transfer news - Douglas Luiz interest, Rayan Ait-Nouri rival, injury latest","liverpool transfer news - Douglas Luiz interest , Rayan Ait - Nouri rival , injury late",other,Others
"Francesco Camarda, 15, becomes Italy’s new boy wonder as Milan find some respite","Francesco Camarda , 15 , become Italy ’s new boy wonder Milan find respite",other,Others
Milan receives special permission to register a 15-year-old footballer,Milan receive special permission register 15 - year - old footballer,other,Others
Liverpool make contact with player family; can sign pro contract in March 2024,Liverpool make contact player family ; sign pro contract March 2024,other,Others
Liverpool have 'made overtures' to Serie A record breaker,Liverpool ' make overture ' Serie A record breaker,serie a,
Manchester City preparing offer for Francesco Camarda,Manchester City prepare offer Francesco Camarda,other,Others
Arsenal are now keen to beat Man City to sign record-breaking youngster in January,arsenal keen beat Man City sign record - break youngster January,other,Others
Francesco Camarda becomes the youngest debutant in Serie A history,Francesco Camarda become young debutant Serie A history,serie a,
AC Milan Francesco Camarda becomes the youngest player in Serie A history at age 15,AC Milan Francesco Camarda become young player Serie A history age 15,serie a,
WATCH: 15-year-old Francesco Camarda makes his AC Milan debut to become youngest player in Serie A history,WATCH : 15 - year - old Francesco Camarda make AC Milan debut become young player Serie A history,serie a,
AC Milan Francesco Camarda becomes youngest player to debut in Serie A at 15 years old,AC Milan Francesco Camarda become young player debut Serie A 15 year old,serie a,
Who is Francesco Camarda? AC Milan 15-year-old debutant with 483 goals in 87 games,Francesco Camarda ? AC Milan 15 - year - old debutant 483 goal 87 game,other,Others
"Chelsea, Liverpool, Manchester City 'battling for AC Milan Francesco Camarda'","Chelsea , Liverpool , Manchester City ' battle AC Milan Francesco Camarda '",other,Others
Liverpool transfer news amid Lucas Beraldo 'talks' as Jürgen Klopp 'wants 400 goal wonderkid',liverpool transfer news amid Lucas Beraldo ' talk ' Jürgen Klopp ' want 400 goal wonderkid ',other,Others
Francesco Camarda: I've loved AC Milan since I was little,Francesco Camarda : I love AC Milan since I little,other,Others
AC Milan youngster Francesco Camarda forced to wait for Champions League debut,AC Milan youngster Francesco Camarda force wait Champions League debut,champions league,
AC Milan striker Francesco Camarda becomes Serie A’s youngest ever player aged 15,AC Milan striker Francesco Camarda become Serie A ’s young ever player age 15,serie a,
AC Milan Stefano Pioli confirms 15-year-old Francesco Camarda in squad vs. Fiorentina: 'Talent has no age',AC Milan Stefano Pioli confirm 15 - year - old Francesco Camarda squad vs. Fiorentina : ' talent age ',other,Others
Francesco Camarda makes history! AC Milan wonderkid becomes youngest ever Serie A debutant at just 15,Francesco Camarda make history ! AC Milan wonderkid become youngest ever Serie A debutant 15,serie a,
New teammate for Christian Pulisic? USMNT star in Milan squad alongside 15-year-old Francesco Camarda - who ...,new teammate Christian Pulisic ? usmnt star Milan squad alongside 15 - year - old Francesco Camarda - ...,mma,Fighting
Camarda thanks Milan fans: 'I discovered that I have a second home',Camarda thank Milan fan : ' I discover I second home ',other,Others
"Chelsea, Liverpool race to shatter Milan 'promise' for 400-goal 15-year-old in clever loophole","Chelsea , Liverpool race shatter Milan ' promise ' 400 - goal 15 - year - old clever loophole",other,Others
Milan striker Camarda is youngest ever Serie A player at 15,Milan striker Camarda youngest ever Serie player 15,serie a,
Sky journalist reveals background on Camarda buying tickets for Fiorentina game,sky journalist reveal background Camarda buy ticket Fiorentina game,other,Others
