title,processed_title,League Name,category
Pep Lijnders nailed Liverpool plan and Trent Alexander-Arnold misconception is all wrong,Pep Lijnders nail Liverpool plan Trent Alexander - Arnold misconception wrong,other,Others
"Carragher 'would love' Klopp to complete big Liverpool signing that'll spark double boost, as legend comparison made","Carragher ' would love ' Klopp complete big Liverpool signing 'll spark double boost , legend comparison make",other,Others
Former Manchester United right-back Gary Neville praises Liverpool Trent Alexander-Arnold after Etihad equalizer ...,former Manchester United right - back Gary Neville praise Liverpool Trent Alexander - Arnold Etihad equalizer ...,other,Others
Carragher sends Liverpool transfer message as fresh Alisson claim made,Carragher send Liverpool transfer message fresh Alisson claim make,other,Others
Carragher urges Klopp to do one thing to get the best out of LFC player who VVD dubbed ‘complete’,Carragher urge Klopp one thing get good LFC player VVD dub ' complete ',other,Others
Jamie Carragher urges Liverpool to make signing that would unlock 24-year-old,Jamie Carragher urge Liverpool make signing would unlock 24 - year - old,other,Others
Gary Neville says Jürgen Klopp ace could become 'best of all time' in his position at Liverpool,Gary Neville say Jürgen Klopp ace could become ' good time ' position Liverpool,other,Others
Gary Neville just confirmed what Jürgen Klopp already knew as Liverpool argument needs to end,Gary Neville confirm Jürgen Klopp already know Liverpool argument need end,other,Others
Jamie Carragher explains Trent Alexander-Arnold change he would 'love' Liverpool to try,Jamie Carragher explain Trent Alexander - Arnold change would ' love ' Liverpool try,other,Others
Arsenal eye Douglas Luiz amid midfield reshuffle - sources,arsenal eye Douglas Luiz amid midfield reshuffle - source,other,Others
"Transfer gossip: Liverpool, City face Luiz, Wirtz disappointment as Arsenal eye Milan record-breaker","transfer gossip : Liverpool , City face Luiz , Wirtz disappointment Arsenal eye Milan record - breaker",other,Others
Liverpool ‘hold genuine levels of interest’ in dynamic PL midfielder valued at £80m – report,Liverpool ' hold genuine level interest ' dynamic PL midfielder value £ 80 – report,other,Others
"Aston Villa stand firm over Douglas Luiz despite Arsenal, Man City & Liverpool interest","Aston Villa stand firm Douglas Luiz despite Arsenal , Man City & Liverpool interest",other,Others
Arsenal hell bent on landing £80m-rated Prem talisman with Edu to sell £45m star Arteta no longer trusts,Arsenal hell bent land £ 80m - rate Prem talisman Edu sell £ 45 star Arteta long trust,other,Others
Report: Villa Midfield Ace Ignites Transfer Frenzy,report : Villa Midfield Ace Ignites Transfer Frenzy,other,Others
Man City aiming to gazump Arsenal and secure Gunners top January target,Man City aim gazump Arsenal secure Gunners top January target,other,Others
"Liverpool eyeing move for ""most underrated player in the Premier League""","Liverpool eye move "" underrated player Premier League """,premier league,Soccer
Fabrizio Romano claims Arsenal will try to sign £60m Premier League star,Fabrizio Romano claim Arsenal try sign £ 60 Premier League star,premier league,Soccer
Unai Emery makes it clear that he is not interested in selling Douglas Luiz,Unai Emery make clear interested sell Douglas Luiz,other,Others
Man City and Liverpool plot Aston Villa transfer as Unai Emery breaks silence,Man City Liverpool plot Aston Villa transfer Unai Emery break silence,other,Others
Arsenal sent firm message by former boss as Unai Emery insists Douglas Luiz is happy at Aston Villa,arsenal send firm message former boss Unai Emery insist Douglas Luiz happy Aston Villa,other,Others
"Exclusive: Aston Villa ready to fend off Arsenal, Liverpool and Man City interest for £80m-rated star","exclusive : Aston Villa ready fend Arsenal , Liverpool Man City interest £ 80m - rate star",other,Others
Arsenal told it will be 'tough' to sign Premier League star who is 'top of the list' for Arteta,Arsenal tell ' tough ' sign Premier League star ' top list ' Arteta,premier league,Soccer
"Liverpool join race to sign €55m Arsenal, City target as Klopp side make 'clear' transfer statement","liverpool join race sign € 55 Arsenal , City target Klopp side make ' clear ' transfer statement",other,Others
Liverpool get response after expressing interest in £15m Brazilian star,Liverpool get response express interest £ 15 brazilian star,other,Others
"Arsenal could sell ""sensational"" £200k-p/w man to fund Douglas Luiz signing","arsenal could sell "" sensational "" £ 200k - p / w man fund Douglas Luiz signing",other,Others
"Liverpool join the race to sign 25-year-old South American, two other PL rivals keen","Liverpool join race sign 25 - year - old South American , two PL rival keen",other,Others
Exclusive: “Arsenal will try” – Fabrizio Romano makes big transfer claim ahead of January,"exclusive : "" Arsenal try "" – Fabrizio Romano make big transfer claim ahead January",other,Others
Arsenal will prioritise a move for 25-year-old PL star in January,Arsenal prioritise move 25 - year - old PL star January,other,Others
"Arsenal news LIVE: Victor Osimhen transfer battle, Premier League rivals ready bid for Ramsdale, Douglas...","arsenal news live : Victor Osimhen transfer battle , Premier League rival ready bid Ramsdale , Douglas ...",premier league,Soccer
Rio Ferdinand only got one sentence right in his lazy Liverpool rant after Man City,Rio Ferdinand get one sentence right lazy Liverpool rant Man City,other,Others
"Mauricio Pochettino sack: Chelsea stance revealed by top source, with board 'not happy' over ame mistakes'","Mauricio Pochettino sack : Chelsea stance reveal top source , board ' happy ' ame mistake '",other,Others
'It makes me mad'... Rio Ferdinand really wants 25-year-old Liverpool player to be less passive,' make I mad ' ... Rio Ferdinand really want 25 - year - old Liverpool player less passive,other,Others
'I just don't understand' - Rio Ferdinand offers verdict on 'horrific' Liverpool performance,' I n't understand ' - Rio Ferdinand offer verdict ' horrific ' Liverpool performance,other,Others
"Mauricio Pochettino sacked, top four chance - Chelsea end of season outcome predicted","Mauricio Pochettino sack , top four chance - Chelsea end season outcome predict",other,Others
Mauricio Pochettino now 'under increasing' pressure at Chelsea,Mauricio Pochettino ' increase ' pressure Chelsea,other,Others
Chelsea make Mauricio Pochettino sacking decision after Newcastle loss amid top four ambitions,Chelsea make Mauricio Pochettino sack decision Newcastle loss amid top four ambition,other,Others
Chelsea make Mauricio Pochettino sacking decision as Victor Osimhen bid prepared,Chelsea make Mauricio Pochettino sack decision Victor Osimhen bid prepare,other,Others
Gary Neville begrudgingly claims brilliant Man Utd midfielder 'looked like a Man City player' in Everton mauling,Gary Neville begrudgingly claim brilliant Man Utd midfielder ' look like Man City player ' Everton maul,other,Others
'He looked like a Man City player' - Pep Guardiola 'will want Kobbie Mainoo in his midfield' after dazzling display at ...,' look like Man City player ' - Pep Guardiola ' want Kobbie Mainoo midfield ' dazzle display ...,other,Others
"Man Utd, Newcastle cannot resist gravitating towards 'one of their own' as Mainoo, Miley emerge","Man Utd , Newcastle resist gravitating towards ' one ' Mainoo , Miley emerge",other,Others
Kobbie Mainoo: Man Utd youngster full Premier League debut against Everton praised by Gary Neville and Roy Keane,Kobbie Mainoo : Man Utd youngster full Premier League debut Everton praise Gary Neville Roy Keane,premier league,Soccer
Kobbie Mainoo was Manchester United main man against Everton… the 18-year-old has been hailed as a pecial',Kobbie Mainoo Manchester United main man Everton … 18 - year - old hail pecial ',other,Others
"Ex-Chelsea duo praise Manchester United wonderkid, one says he feels sorry for his teammate","Ex - Chelsea duo praise Manchester United wonderkid , one say feel sorry teammate",mma,Fighting
Ten Hag confident about 'mature' Mainoo,ten hag confident ' mature ' mainoo,other,Others
Gareth Southgate chedules talks' with Man Utd star Kobbie Mainoo as England face battle,Gareth Southgate chedule talk ' Man Utd star Kobbie Mainoo England face battle,other,Others
Tactical Analysis: Kobbie Mainoo provides answers to a lot of questions,Tactical Analysis : Kobbie Mainoo provide answer lot question,other,Others
Kobbie Mainoo sends Man United fans 5-word message after Alejandro Garnacho joke,Kobbie Mainoo send Man United fan 5 - word message Alejandro Garnacho joke,other,Others
Kobbie Mainoo Delivers When Manchester United Needs Him Most,Kobbie Mainoo deliver Manchester United need,other,Others
'Tremendous' - Former Liverpool FC star raves about Manchester United ace Kobbie Mainoo,' tremendous ' - Former Liverpool FC star rave Manchester United ace Kobbie Mainoo,other,Others
Man Utd fans convinced Erik ten Hag has unlocked ‘cheat code’ who is ‘what we thought Amrabat would be’...,Man Utd fan convince Erik ten Hag unlock ' cheat code ' ' think Amrabat would ' ...,other,Others
Manchester United fans think they’ve finally got ‘De Jong’ and haven’t had to spend any money following Kob...,Manchester United fan think finally get ' De Jong ' n’t spend money follow Kob ...,other,Others
Rio Ferdinand claims Man Utd star has lost his place to Kobbie Mainoo,Rio Ferdinand claim Man Utd star lose place Kobbie Mainoo,other,Others
‘Loved watching him’ – Roy Keane delivers glistening verdict on ‘outstanding’ Manchester United player,' love watch ' – Roy Keane deliver glisten verdict ' outstanding ' Manchester United player,other,Others
Manchester United teenager Kobbie Mainoo delivers dynamism on his first Premier League start,Manchester United teenager Kobbie Mainoo deliver dynamism first Premier League start,premier league,Soccer
Gary Neville picks one Man Utd player Pep Guardiola would want in his Man City team,Gary Neville pick one Man Utd player Pep Guardiola would want Man City team,other,Others
"""Outstanding"" Kobbie Mainoo could set ruthless Man United plan in motion",""" Outstanding "" Kobbie Mainoo could set ruthless Man United plan motion",other,Others
Man Utd Kobbie Mainoo at centre of international fight for England and Gareth Southgate,Man Utd Kobbie Mainoo centre international fight England Gareth Southgate,other,Others
