Tournament,Home Team,Away Team,Home Score,Away Score,Days,date,Match Type
Primera Division de El Salvador,Jocoro,Platense,3,1,Yesterday,"Sunday, 29 October 2023",Full time
Primera Division de El Salvador,FAS,Santa Tecla,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Primera Division de El Salvador,Isidro,Once Deportivo,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Primera División Clausura,Nacional,Sportivo Amel.,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Primera División Clausura,Guaraní,Guaireña,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Primera División RFEF,Fuenlabrada,SD Logroñés,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Primera División RFEF,Murcia,Linares,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Primera División RFEF,Lugo,Real Unión,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Primera División RFEF,Baleares,UD Melilla,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Primera División RFEF,Ibiza,Intercity,1,3,Yesterday,"Sunday, 29 October 2023",Full time
Primera División RFEF,Real Madrid II,Ceuta,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Primera División RFEF,Cornellà,Teruel,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Primera División RFEF,Tarazona,Sestao,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Primera División RFEF,Alcoyano,Algeciras,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Primera Nacional,Almagro,San Telmo,0,0,Abandoned,"Sunday, 29 October 2023",
Primera Nacional,Chacarita,Temperley,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Primera Nacional,Agropecuario,Ferro,0,2,Yesterday,"Sunday, 29 October 2023",Full time
Primera Nacional,Quilmes,Gim Mendoza,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Qatar Stars League,Muaither,Sadd,0,2,Yesterday,"Sunday, 29 October 2023",Full time
Qatar Stars League,Shamal,Al Duhail,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Qatar Stars League,Arabi,Ahli,2,3,Yesterday,"Sunday, 29 October 2023",Full time
Regionalliga Nord,Havelse,HSV II,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Regionalliga Nord,Eimsbütteler,Bremer SV,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Regionalliga Nordost,Carl Zeiss Jena,Chemie Leipzig,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Regionalliga Nordost,Greifswalder FC,Energie Cottbus,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Regionalliga Nordost,Babelsberg,Hansa II,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Regionalliga Nordost,Lok Leipzig,Erfurt,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Regionalliga Südwest,Eintracht F II,FSV Frankfurt,5,1,,"Sunday, 29 October 2023",04:13
Regionalliga Südwest,Hoffenheim II,Bahlinger SC,4,0,,"Sunday, 29 October 2023",04:13
Regionalliga West,RW Oberhausen,Schalke II,1,3,Yesterday,"Sunday, 29 October 2023",Full time
Russian Premier League,Zenit,Akhmat,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Russian Premier League,Nizhny Novg.,Sochi,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Russian Premier League,Dinamo M,Ural,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Saudi Professional League,Al-Wehda,Al-Ettifaq,2,3,Yesterday,"Sunday, 29 October 2023",Full time
Scottish League One,Montrose,Hamilton,0,3,Yesterday,"Sunday, 29 October 2023",Full time
Serie BKT,Modena,Ternana,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie BKT,Palermo,Lecco,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie BKT,Brescia,Bari,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie BKT,Venezia,Pisa,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Erminio,Pro Sesto,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Pergolettese,Legnago,3,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Renate,Novara,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Trento,Alessandria,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Triestina,Fiorenzuola,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Lumezzane,Atalanta U23,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Vicenza,Calcio Padova,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Juventus Next Gen,Olbia,3,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Torres,SPAL,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Crotone,ACR Messina,3,3,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Catania,Avellino,0,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie C,Sorrento,Monterosi,0,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Trapani,Igea Virtus,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Gioiese,Lamezia Terme,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Vibonese,Locri 1909,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Sanremese,Vado,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Alba,Asti,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Chieri,Città Varese,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Derthona,Bra,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Gozzano,Vogherese,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,PDHAE,Borgosesia,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Brusaporto,Desenzano,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Castellanzese,Arconatese,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Clivense,Legnano,4,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Piacenza,Pro Palazzolo,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Varesina,Caravaggio,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Villa Valle,Caratese,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Pontisola,Club Milano,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Akragas,Canicattì,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Sant’Agata,Acireale,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Ragusa,La Fenice,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Licata,San Luca,3,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Chions,Campodarsego,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Clodiense,Mestre,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Corticella,Carpi,3,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Fanfulla,Sammaurese,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Sangiuliano,Imolese,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Victor San Marino,Ravenna,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Figline,Grosseto,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Ghivizzano,Real Forte,3,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Livorno,Seravezza,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Mob. Ponsacco,Pianese,1,3,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Sangiovannese,Orvietana,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Cenaia,Sansepolcro,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Campobasso,Tivoli,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Matese,Sora,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,L'Aquila,Roma City,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Atletico,Vigor Senig.,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Chieti,Fano,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Ardea,Sarrabus,0,2,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Nardò,Matera,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Casarano,Team Altamura,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie D,Manfredonia,Barletta,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Slovak Niké Liga,Ružomberok,Žilina,0,2,,"Sunday, 29 October 2023",04:26
Slovak Niké Liga,Zlaté Moravce,Skalica,0,1,,"Sunday, 29 October 2023",04:26
Super League,St.Gallen,Grasshopper Club Zürich,3,1,Yesterday,"Sunday, 29 October 2023",Full time
Super League,Yverdon,Winterthur,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Super League,FC Zürich,Stade-Lausanne,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Super League,Lausanne,Basel,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Super League,Lugano,BSC Young Boys,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Super League,Servette,Luzern,4,2,Yesterday,"Sunday, 29 October 2023",Full time
Super Liga,Radnički Niš,Spartak,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Super Liga,FK IMT,Red Star Belgrade,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Super Liga,Radnički 1923,Mladost Lučani,4,1,Yesterday,"Sunday, 29 October 2023",Full time
Super Liga,Čukarički,Vojvodina,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Super Liga,Floreşti,CSF Bălți,2,3,Yesterday,"Sunday, 29 October 2023",Full time
Super Liga,Dacia-Buiucani,Sheriff,0,4,Yesterday,"Sunday, 29 October 2023",Full time
SuperLiga,Petrolul 52,FCSB,2,2,Yesterday,"Sunday, 29 October 2023",Full time
SuperLiga,U Craiova 1948,Arad,2,3,Yesterday,"Sunday, 29 October 2023",Full time
Superettan,Skövde,Utsikten,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Superettan,Västerås,GAIS,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Superettan,Öster,Brage,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Superleague,Atromitos,Panaitolikos,3,2,Yesterday,"Sunday, 29 October 2023",Full time
Superleague,Asteras,Lamia,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Superleague 2,Aiolikos,Almopos,0,0,Abandoned,"Sunday, 29 October 2023",
Superleague 2,Makedonikos N.,PAOK Thessaloniki FC II,3,2,Abandoned,"Sunday, 29 October 2023",
Superleague 2,Anagennisi K,Larissa,0,2,Abandoned,"Sunday, 29 October 2023",
Superleague 2,Apollon Pontou,Kozani,0,0,Abandoned,"Sunday, 29 October 2023",
Superleague 2,Diagoras,Ionikos,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Superligaen,Vejle,Viborg,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Superligaen,Silkeborg,OB,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Süper Lig,Demirspor,Konyaspor,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Süper Lig,Caykur Rizespor,Galatasaray,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Süper Lig,Fatih,Trabzonspor,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Thai League 1,Trat FC,Prachuap,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Thai League 1,Buriram Utd,BGPU,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Thai League 1,Bangkok Utd,Ratchaburi Mitr Phol FC,3,1,Yesterday,"Sunday, 29 October 2023",Full time
Torneo Clausura,Club Vaca Díez de Pando,Always Ready,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Torneo Clausura,Uni de Vinto,Blooming,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Torneo Clausura,Nacional,Independiente,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Tweede Divisie,Treffers,Maassluis,4,0,Yesterday,"Sunday, 29 October 2023",Full time
USL Championship,Charleston,Birmingham Legion,2,1,Yesterday,"Sunday, 29 October 2023",Full time
USL Championship,Louisville City,Detroit City,4,0,Yesterday,"Sunday, 29 October 2023",Full time
USL Championship,Orange County,Phoenix Rising,1,2,Yesterday,"Sunday, 29 October 2023",Full time
V.League 1,Quảng Nam,Hồ Chí Minh,1,1,Yesterday,"Sunday, 29 October 2023",Full time
V.League 1,Bình Định,Binh Duong,0,2,Yesterday,"Sunday, 29 October 2023",Full time
V.League 1,Hà Nội,Hai Phong,3,5,Yesterday,"Sunday, 29 October 2023",Full time
VBet Premier League,LNZ Cherkasy,Obolon' Kyiv,3,0,,"Sunday, 29 October 2023",02:58
VBet Premier League,Minai,Veres Rivne,0,0,,"Sunday, 29 October 2023",02:58
VBet Premier League,Vorskla,Metalist 1925,2,2,,"Sunday, 29 October 2023",02:58
Veikkausliiga Play-offs,Mariehamn,Gnistan,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Virsliga,FK Metta,Valmiera FC,4,1,Yesterday,"Sunday, 29 October 2023",Full time
Virsliga,Riga FC,SK Super Nova,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Vysheyshaya Liga,Neman,Isloch,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Vysheyshaya Liga,Belshina,Gomel,0,2,Yesterday,"Sunday, 29 October 2023",Full time
Vysheyshaya Liga,Minsk,Dinamo Brest,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Vysheyshaya Liga,BATE,Slutsk,4,3,Yesterday,"Sunday, 29 October 2023",Full time
LaLiga,Athletic Club,Valencia,2,2,Today,"Monday, 30 October 2023",Full time
LaLiga,Atlético de Madrid,Alavés,2,1,Today,"Monday, 30 October 2023",Full time
Bundesliga,Bayer Leverkusen,SC Freiburg,2,1,Today,"Monday, 30 October 2023",Full time
Serie A,Inter,Roma,1,0,Today,"Monday, 30 October 2023",Full time
Serie A,Napoli,Milan,2,2,Today,"Monday, 30 October 2023",Full time
Ligue 1 Uber Eats,Rennes,Strasbourg,1,1,Today,"Monday, 30 October 2023",Full time
Ligue 1 Uber Eats,Marseille,Olympique Lyonnais,,,Today,"Monday, 30 October 2023",Full time
1. HNL,Dinamo Zagreb,Lokomotiva,2,1,Today,"Monday, 30 October 2023",Full time
1. Lig,Eyüp,Bandirmaspor,0,1,Today,"Monday, 30 October 2023",Full time
1. SNL,Olimpija,Aluminij,0,0,Today,"Monday, 30 October 2023",Full time
3. Liga,Freiburg II,Erzgebirge Aue,0,1,Today,"Monday, 30 October 2023",Full time
African Football League,Wydad AC,Espérance de Tunis,1,0,Today,"Monday, 30 October 2023",Full time
Allsvenskan,AIK,Halmstad,1,1,Today,"Monday, 30 October 2023",Full time
Armenian Premier League,Noah,Alashkert,,,,"Monday, 30 October 2023",21:00
Armenian Premier League,Urartu,Shirak,,,,"Monday, 30 October 2023",21:00
Azerbaijan Premier League,Araz FK,Qarabağ,,,,"Monday, 30 October 2023",23:00
Botola,Tétouan,Jeunesse Sportive Soualem,4,0,Today,"Monday, 30 October 2023",Full time
Botola,Maghreb AS de Fès,Berkane,0,0,Today,"Monday, 30 October 2023",Full time
Brasileirão Série A,Paranaense,São Paulo,1,1,Today,"Monday, 30 October 2023",Full time
Brasileirão Série A,Goiás,Vasco,1,1,Today,"Monday, 30 October 2023",Full time
Brasileirão Série A,Internacional,Coritiba,3,4,Today,"Monday, 30 October 2023",Full time
Brasileirão Série A,Corinthians,Santos,1,1,Today,"Monday, 30 October 2023",Full time
Brasileirão Série A,Botafogo,Cuiabá,0,1,Today,"Monday, 30 October 2023",Full time
Brasileirão Série B,Londrina,CRB,1,1,Today,"Monday, 30 October 2023",Full time
Brasileirão Série B,Vitória,Juventude,0,0,Today,"Monday, 30 October 2023",Full time
Bulgarian First League,Ludogorets,Hebar 1918,3,1,Today,"Monday, 30 October 2023",Full time
Bundesliga,Rapid,LASK,3,3,Today,"Monday, 30 October 2023",Full time
Campeonato Uruguayo Femenino,Peñarol Women,Fénix Women,9,1,Today,"Monday, 30 October 2023",Full time
Campionato Primavera 1 TIMvision,AC Monza U19,Roma U19,,,,"Monday, 30 October 2023",21:30
Carioca 2,7 de Abril,Paduano,1,7,Today,"Monday, 30 October 2023",Full time
Challenger Pro League,Liège,RSCA Futures,0,2,Today,"Monday, 30 October 2023",Full time
Copa Santa Catarina,Concórdia,Figueirense,2,0,Today,"Monday, 30 October 2023",Full time
Copa Santa Catarina,Avaí B,Barra,2,1,Today,"Monday, 30 October 2023",Full time
Copa Santa Catarina,Marcílio Dias,Hercílio,0,1,Today,"Monday, 30 October 2023",Full time
Copa Santa Catarina,Internacional,Nação,3,3,Today,"Monday, 30 October 2023",Full time
Copa Santa Catarina,Joinville,Chapecoense B,5,1,Today,"Monday, 30 October 2023",Full time
Copa de la Liga Profesional,Colón,Atl. Tucumán,1,0,Today,"Monday, 30 October 2023",Full time
Copa de la Liga Profesional,R. Central,Argentinos Juniors,3,1,Today,"Monday, 30 October 2023",Full time
Copa de la Liga Profesional,Gimn La Plata,River Plate,1,2,Today,"Monday, 30 October 2023",Full time
Copa de la Liga Profesional,Independiente,Arsenal,0,0,Today,"Monday, 30 October 2023",Full time
Cypriot First Division,Omonia,AEK Larnaca,0,0,Today,"Monday, 30 October 2023",Full time
Cypriot First Division,Apollon Limassol,Pafos,0,3,Today,"Monday, 30 October 2023",Full time
Cypriot First Division,Anorthosis,Zakakiou,1,1,Today,"Monday, 30 October 2023",Full time
Czech Fortuna liga,Bohemians 1905,Slavia,0,2,Today,"Monday, 30 October 2023",Full time
Egyptian Premier League,Geish,Ceramica Cleo,1,0,Today,"Monday, 30 October 2023",Full time
Egyptian Premier League,Al Ahly,Baladiyyat Al Mehalla,,,Today,"Monday, 30 October 2023",Full time
Egyptian Premier League,El Dakhleya,Ismaily,,,Today,"Monday, 30 October 2023",Full time
Ekstraklasa,Raków,Widzew,1,1,,"Monday, 30 October 2023",02:33
Eliteserien,Odd,HamKam,2,0,,"Monday, 30 October 2023",02:52
Eliteserien,Sarpsborg,Stabæk,2,2,,"Monday, 30 October 2023",02:52
Eliteserien,Strømsgodset,Viking,1,0,,"Monday, 30 October 2023",02:52
Eliteserien,Sandefjord,Brann,1,1,,"Monday, 30 October 2023",02:52
Eliteserien,Vålerenga,Rosenborg,1,3,,"Monday, 30 October 2023",02:52
Football National League 2,Tver,Luki-Energiya,,,,"Monday, 30 October 2023",19:00
Football National League 2,Pobeda,SKA Rostov,,,,"Monday, 30 October 2023",19:00
Football National League 2,Druzhba,Astrakhan,,,,"Monday, 30 October 2023",21:00
Friendlies Women,USA Women,Colombia Women,3,0,Today,"Monday, 30 October 2023",Full time
Honduras Liga Nacional,Marathón,Real Sociedad,2,1,Today,"Monday, 30 October 2023",Full time
Honduras Liga Nacional,Génesis,Olancho,2,2,Today,"Monday, 30 October 2023",Full time
Honduras Liga Nacional,UPNFM,Victoria,1,0,Today,"Monday, 30 October 2023",Full time
I-League,Delhi,TRAU,1,1,,"Monday, 30 October 2023",87'
Iraq Stars League,Al-Qasim,Erbil,,,,"Monday, 30 October 2023",22:00
Jupiler Pro League,Gent,Standard,3,1,Today,"Monday, 30 October 2023",Full time
Jupiler Pro League,Kortrijk,Genk,0,3,Today,"Monday, 30 October 2023",Full time
King's Cup,Al-Najma,Al-Faisaly,,,,"Monday, 30 October 2023",20:15
King's Cup,Al-Khaleej,Damac,,,,"Monday, 30 October 2023",20:15
La Liga 2,Leganés,Villarreal II,1,0,Today,"Monday, 30 October 2023",Full time
La Liga 2,Real Oviedo,Alcorcón,2,0,Today,"Monday, 30 October 2023",Full time
La Liga 2,Santander,Racing Ferrol,1,3,Today,"Monday, 30 October 2023",Full time
Liga 1,RANS,PSM Makassar,1,1,Today,"Monday, 30 October 2023",Full time
Liga 1,Bali United,Persita Tangerang,,,Today,"Monday, 30 October 2023",Full time
Liga BBVA MX Apertura,Toluca,San Luis,3,1,Today,"Monday, 30 October 2023",Full time
Liga BBVA MX Apertura,Santos Laguna,FC Juarez,5,1,Today,"Monday, 30 October 2023",Full time
Liga BBVA MX Apertura,Tijuana,Atlas,2,0,Today,"Monday, 30 October 2023",Full time
Liga Nacional de Guatemala,Zacapa,Xinabajul,0,1,Today,"Monday, 30 October 2023",Full time
Liga Nacional de Guatemala,Achuapa,Coatepeque FC,1,0,Today,"Monday, 30 October 2023",Full time
Liga Portugal,Estrela Amadora,Famalicão,1,0,Today,"Monday, 30 October 2023",Full time
Liga Portugal,Vizela,FC Porto,0,2,Today,"Monday, 30 October 2023",Full time
Liga Portugal 2,UD Oliveirense,União Leiria,1,4,Today,"Monday, 30 October 2023",Full time
Liga Portugal 3,Anadia,Trofense,3,3,Today,"Monday, 30 October 2023",Full time
Liga Portugal 3,Felgueiras,Varzim,2,0,Today,"Monday, 30 October 2023",Full time
Liga Premier,San Pedro,Gavilanes,,,Today,"Monday, 30 October 2023",02:00
Liga Premier,Cimarrones II,Tecos,,,Today,"Monday, 30 October 2023",02:00
Liga de Expansión MX,Leones Negros,Tlaxcala,2,1,Today,"Monday, 30 October 2023",Full time
Liga de Fútbol de Primera División,Saprissa,San Carlos,2,1,Today,"Monday, 30 October 2023",Full time
LigaPro Betcris,Delfin,Cumbayá,4,0,Today,"Monday, 30 October 2023",Full time
LigaPro Betcris,Aucas,Mushuc Runa,4,0,Today,"Monday, 30 October 2023",Full time
LigaPro Betcris,Orense,Barcelona SC,2,3,Today,"Monday, 30 October 2023",Full time
Major League Soccer,Houston Dynamo,Salt Lake,2,1,Today,"Monday, 30 October 2023",Full time
Major League Soccer,Cincinnati,New York RB,3,0,Today,"Monday, 30 October 2023",Full time
Major League Soccer,St. Louis,Sporting KC,1,4,Today,"Monday, 30 October 2023",Full time
Maltese Premier League,Sliema,Gzira Utd,1,0,Today,"Monday, 30 October 2023",Full time
OTP Bank Liga,Ferencváros,Újpest,3,0,Today,"Monday, 30 October 2023",Full time
Pernambucano 2,Vera Cruz,Tabocas,3,2,Today,"Monday, 30 October 2023",Full time
Pernambucano 2,Decisão,Jaguar,2,0,Today,"Monday, 30 October 2023",Full time
Pernambucano 2,Limoeirense,Afogados,0,3,Today,"Monday, 30 October 2023",Full time
Pernambucano 2,Flamengo,CA Torres,4,0,Today,"Monday, 30 October 2023",Full time
Persha Liha,Dinaz V.,Livyi Bereh,0,0,Abandoned,"Monday, 30 October 2023",
Peru Liga 1,Grau,Unión Comercio,0,1,Today,"Monday, 30 October 2023",Full time
Peru Liga 1,ADT,CA Mannucci,0,0,Today,"Monday, 30 October 2023",Full time
Peru Liga 1,Sp. Cristal,Alianza Atl.,3,0,Today,"Monday, 30 October 2023",Full time
Peru Liga 1,Universitario,Sport Huancayo,2,0,Today,"Monday, 30 October 2023",Full time
Peru Liga 1,Binacional,Melgar,1,2,Today,"Monday, 30 October 2023",Full time
Peru Liga 1,Club Deportivo Garcilaso,Alianza Lima,0,1,Today,"Monday, 30 October 2023",Full time
Premier Soccer League,SuperSport Utd,Royal AM,,,Today,"Monday, 30 October 2023",00:00
Primera B Metropolitana,A Quilmes,Acassuso,1,1,Today,"Monday, 30 October 2023",Full time
Primera Division de El Salvador,Águila,Limeño,1,0,Today,"Monday, 30 October 2023",Full time
Primera Division de El Salvador,Firpo,CD Fuerte San Francisco,2,1,Today,"Monday, 30 October 2023",Full time
Primera Division de El Salvador,Alianza,Dragón,2,2,Today,"Monday, 30 October 2023",Full time
Primera División,Caracas,Portuguesa,2,0,Today,"Monday, 30 October 2023",Full time
Primera División,Puerto Cabello,Táchira,0,1,Today,"Monday, 30 October 2023",Full time
Primera División Clausura,Olimpia,Cerro Porteño,0,0,Today,"Monday, 30 October 2023",Full time
Primera División RFEF,Barcelona Atlètic,Osasuna II,2,1,Today,"Monday, 30 October 2023",Full time
Primera División RFEF,Ponferradina,Leonesa,1,2,Today,"Monday, 30 October 2023",Full time
Primera División RFEF,Córdoba,Huelva,1,0,Today,"Monday, 30 October 2023",Full time
Primera División RFEF,Antequera,Málaga,0,2,Today,"Monday, 30 October 2023",Full time
Primera División RFEF,Deportivo La Coruña,Tarragona,1,0,Today,"Monday, 30 October 2023",Full time
Primera División RFEF,Real Sociedad San Sebastian B,Majadahonda,2,0,Today,"Monday, 30 October 2023",Full time
Primera División RFEF,A Madrid II,Mérida,1,1,Today,"Monday, 30 October 2023",Full time
Primera Nacional,Maipú,San Martín SJ,1,0,Today,"Monday, 30 October 2023",Full time
Primera Nacional,Estudiantes RC,Mitre SdE,1,0,Today,"Monday, 30 October 2023",Full time
Primera Nacional,Almirante Br,Independiente,0,2,Today,"Monday, 30 October 2023",Full time
Qatar Stars League,Qatar,Markhiya,4,0,Today,"Monday, 30 October 2023",Full time
Qatar Stars League,Wakrah,Umm Salal,2,1,Today,"Monday, 30 October 2023",Full time
Russian Premier League,CSKA Moscow,Krasnodar,1,0,Today,"Monday, 30 October 2023",Full time
Serie C,Pescara,Recanatese,2,3,Today,"Monday, 30 October 2023",Full time
Serie C,S.S. Turris Calcio,Giugliano,0,1,Today,"Monday, 30 October 2023",Full time
Serie C,Juve Stabia,Latina,1,0,Today,"Monday, 30 October 2023",Full time
Serie C,Picerno,Foggia,2,0,Today,"Monday, 30 October 2023",Full time
Serie C,Audace Cerig.,Casertana,2,4,Today,"Monday, 30 October 2023",Full time
Serie C,Fermana,Ancona,1,1,Today,"Monday, 30 October 2023",Full time
Serie C,Lucchese,Pontedera,1,2,Today,"Monday, 30 October 2023",Full time
Serie C,V. Francavilla,Taranto,1,2,Today,"Monday, 30 October 2023",Full time
Serie C,Brindisi,Monopoli,1,2,Today,"Monday, 30 October 2023",Full time
Slovak Niké Liga,Trenčín,Spartak,2,3,,"Monday, 30 October 2023",06:17
Slovak Niké Liga,Slovan,Košice,4,0,,"Monday, 30 October 2023",06:17
Super Liga,Partizan,Voždovac,3,0,Today,"Monday, 30 October 2023",Full time
Super Liga,TSC Bačka Topola,Novi Pazar,1,1,Today,"Monday, 30 October 2023",Full time
SuperLiga,Rapid,U Craiova,2,0,Today,"Monday, 30 October 2023",Full time
SuperLiga,Botoșani,U Cluj,,,Today,"Monday, 30 October 2023",Full time
Superleague,Panathinaikos,Panserraikos,5,0,Today,"Monday, 30 October 2023",Full time
Superleague,Aris Thessaloniki,Giannina,2,0,Today,"Monday, 30 October 2023",Full time
Superleague 2,Niki,Chalastra,,,,"Monday, 30 October 2023",21:00
Superligaen,Brøndby,Nordsjælland,2,1,Today,"Monday, 30 October 2023",Full time
Süper Lig,Ankaragücü,Samsunspor,2,0,Today,"Monday, 30 October 2023",Full time
Süper Lig,Antalyaspor,Başakşehir,1,0,Today,"Monday, 30 October 2023",Full time
Süper Lig,Pendik,Fenerbahçe,0,5,Today,"Monday, 30 October 2023",Full time
Torneo Clausura,Santa Cruz,Palmaflor,0,0,Today,"Monday, 30 October 2023",Full time
Torneo Clausura,Guabirá,Aurora,2,0,Today,"Monday, 30 October 2023",Full time
Torneo Federal A,Las Heras,Juventud UU,1,1,Today,"Monday, 30 October 2023",Full time
Torneo Federal A,Atenas,Peñarol,8,2,Today,"Monday, 30 October 2023",Full time
Torneo Federal A,Germinal,Sol de Mayo,1,2,Today,"Monday, 30 October 2023",Full time
Torneo Federal A,Ferro Carril,Ciudad de Bolívar,0,0,Today,"Monday, 30 October 2023",Full time
Torneo Federal A,Estudiantes SL,Argentino MM,0,2,Today,"Monday, 30 October 2023",Full time
Torneo Federal A,Santamarina,Circulo Dep.,3,0,Today,"Monday, 30 October 2023",Full time
